Names,Cost,Points
Annemiek Van Vleuten,24,573
Anna Van Der Breggen,20,1025
Amanda Spratt,18,138
Marianne Vos,16,950
Elizabeth Deignan,16,286
Elisa Longo Borghini,16,869
Katarzyna Niewiadoma,14,894
Ashleigh Moolman,14,584
Mavi Garcia,12,373
Amy Pieters,12,208
Lisa Klein,12,47
Lisa Brennauer,12,94
Cecilie Uttrup Ludwig,12,885
Leah Kirchmann,12,10
Coryn Rivera,12,215
Ellen Van Dijk,12,150
Eugenia Bujak,10,198
Arlenis Sierra,10,120
Chantal Blaak,10,215
Jolien D'Hoore,10,67
Elena Cecchini,10,67
Soraya Paladin,10,315
Maria Giulia Confalonieri,10,2
Kirsten Wild,10,2
Olga Zabelinskaya,10,0
Lotte Kopecky,10,452
Alison Jackson,10,100
Liane Lippert,10,433
Floortje Mackaij,10,65
Tayler Wiles,10,43
Ruth Winder,10,55
Rasa Leleivyte,8,0
Karol-Ann Canuel,8,67
Alena Amialiusik,8,42
Hannah Barnes,8,158
Omer Shapira,8,47
Erica Magnaldi,8,220
Ane Santesteban,8,333
Amber Neben,8,0
Malgorzata Jasinska,8,5
Elizabeth Banks,8,406
Marlen Reusser,8,52
Stine Borgli,8,98
Brodie Chapman,8,68
Eugenie Duval,8,33
Emilia Fahlin,8,4
Lucy Kennedy,8,81
Sarah Roy,8,58
Barbara Guarischi,8,0
Juliette Labous,8,154
Audrey Cordon-Ragot,8,24
Teniel Campbell,8,0
Marta Cavalli,8,252
Ilaria Sanguineti,8,60
Maaike Boogaard,6,6
Tatiana Guderzo,6,66
Urska Zigart,6,8
Blanca Liliana Moreno,6,0
Katia Ragusa,6,269
Olga Shekel,6,0
Alice Maria Arzuffi,6,0
Eva Buurman,6,57
Sofia Bertizzolo,6,124
Pauliena Rooijakkers,6,173
Sabrina Stultiens,6,155
Diana Klimova,6,0
Mariia Novolodskaia,6,124
Mia Radotic,6,0
Rachel Neylan,6,0
Elise Chabbey,6,216
Niamh Fisher-Black,6,245
Mikayla Harvey,6,583
Emma Cecilie Norsgaard,6,62
Arianna Fidanza,6,0
Lone Meertens,6,12
Julie Van De Velde,6,24
Olena Sharga,6,0
Yevgenia Vysotska,6,0
Grace Brown,6,56
Katrine Aalerud,6,184
Aude Biannic,6,27
Debora Silvestri,6,40
Laura Tomasi,6,0
Vittoria Guazzini,6,30
Elena Pirrone,6,0
Anna Trevisi,4,6
Letizia Borghesi,4,0
Carmela Cipriani,4,0
Sofia Collinelli,4,0
Giulia Marchesini,4,2
Gemma Sernissi,4,0
Olivia Baleysite,4,0
Francesca Pattaro,4,0
Vania Canvelli,4,0
Giorgia Catarzi,4,0
Simona Frapporti,4,0
Marketa Hajkova,4,10
Silvia Valsecchi,4,7
Silvia Zanardi,4,20
Ariana Gilabert,4,0
Nadine Gill,4,2
Lucia Gonzalez,4,0
Elizabeth Holden,4,0
Carla Oberholzer,4,0
Lara Vieceli,4,2
Aigul Gareeva,4,30
Sandra Alonso,4,65
Ainara Elbusto,4,10
Asja Paladin,4,0
Nadia Quagliotto,4,0
Martina Fidanza,4,0
Elena Franchi,4,45
Alice Gasparini,4,0
Francesca Pisciali,4,0
Beatrice Rossato,4,0
Arianna Sessi,4,0
Evita Muzic,4,328
Teuntje Beekhuis,4,12
Abby-Mae Parkinson,4,12
Julia Biryukova,4,0
Naomi De Roeck,4,0
Spela Kern,4,0
Fiona Turnbull,4,0
Moniek Tenniglo,4,56
Jelena Eric,4,50
Paula Patino,4,206
Gloria Rodriguez,4,0
Francesca Baroni,4,0
Sara Casasola,4,0
Kseniya Dobrynina,4,0
Nicole Fede,4,0
Rosalia Ortiz,4,0
Anna Potokina,4,0
Michela Balducci,4,0
Giorgia Bariani,4,50
Elisa Dalle Valle,4,0
Greta Marturano,4,0
Barbara Malcotti,4,0
