Names,Cost,Points
Annemiek Van Vleuten,24,286
Lorena Wiebes,20,624
Ellen Van Dijk,20,339
Marta Bastianelli,18,100
Lisa Brennauer,18,782
Elisa Longo Borghini,18,488
Leah Kirchmann,16,280
Liane Lippert,16,92
Eugenia Bujak,14,113
Maria Giulia Confalonieri,12,11
Audrey Cordon-Ragot,12,67
Letizia Paternoster,12,33
Ursa Pintar,10,2
Alice Barnes,10,307
Alexis Ryan,10,77
Malgorzata Jasinska,10,0
Vita Heine,10,116
Mieke Kroeger,10,184
Janneke Ensing,10,50
Sarah Roy,10,289
Barbara Guarischi,10,70
Marta Cavalli,10,112
Chiara Consonni,10,104
Maaike Boogaard,8,198
Eri Yonamine,8,2
Ella Harris,8,0
Hannah Ludwig,8,159
Julie Leth,8,35
Rachel Neylan,8,0
Lucy Van Der Haar,8,32
Georgia Williams,8,86
Katrine Aalerud,8,40
Jelena Eric,8,203
Alicia Gonzalez,8,0
Sara Martin,8,0
Elisa Balsamo,8,445
Ilaria Sanguineti,8,19
Anna Trevisi,6,2
Vania Canvelli,6,0
Simona Frapporti,6,0
Silvia Valsecchi,6,20
Silvia Zanardi,6,199
Elizabeth Holden,6,5
Rotem Gafinovitz,6,10
Christa Riffel,6,0
Laura Asencio,6,73
Sarah Rijkes,6,10
Lara Vieceli,6,10
Sandra Alonso,6,50
Alessia Vigilia,6,0
Minke Bakker,6,10
Nicole Hanselmann,6,0
Marieke Van Witzenburg,6,0
Jessica Allen,6,0
Jessica Roberts,6,111
Gloria Rodriguez,6,0
Alba Teruel,6,0
Julia Soek,6,48
Vittoria Guazzini,6,66
Camilla Alessio,4,2
Giorgia Catarzi,4,3
Iurani Blanco,4,0
Emilie Fortin,4,0
Ariana Gilabert,4,0
Lydia Iglesias,4,0
Christina Schweinberger,4,47
Martine Gjos,4,0
Mireia Benito,4,10
Belen Lopez,4,0
Martina Moreno,4,0
Patricia Ortega,4,0
Gabrielle Pilote-Fortin,4,0
Mireia Trias,4,0
Paula Diaz,4,0
Elisabet Escursell,4,0
Carolina Esteban,4,0
Susana Perez,4,0
Laura Tenorio,4,0
Naia Amondarain,4,0
Maria Banlles,4,0
Emma Ortiz Bonilla,4,0
Claire Steels,4,0
Wilma Olausson,4,0
Barbara Malcotti,4,0
