Names,Cost,Points
Joao Rodrigues,22,630
Gustavo Cesar,20,1217
Joni Brandao,18,794
Amaro Antunes,18,1164
Vicente Garcia De Mateos,16,355
Antonio Carvalho,16,895
Daniel Mestre,16,511
Alejandro Manuel Marque,14,494
Angel Madrazo,14,35
Mauro Finetto,14,256
Joao Benta,14,562
David Rodrigues,14,98
Frederico Figueiredo,12,710
Alexander Grigoryev,12,37
Luis Mendonca,12,59
Henrique Casimiro,12,145
Hugo Sancho,12,50
Delio Fernandez,12,287
Ricardo Mestre,12,284
Sergey Shilov,10,50
Jose Carlos Prates Neves Fernandes,10,17
Juan Felipe Osorio,10,0
Hector Saez,10,16
Rafael Reis,10,199
Luis Gomes,10,803
Joaquim Silva,10,42
Riccardo Minali,10,282
Luis Fernandes,10,383
Daniel Silva,10,85
Gavin Mannion,10,72
Anthony Delaplace,10,269
David Livramento,8,37
Cesar Martingil,8,172
David De La Fuente,8,0
Jesus Del Pino,8,0
Joao Matias,8,95
Diego Rubio,8,48
Cristian Rodriguez,8,287
Cesar Fonte,8,59
Tiago Machado,8,56
Emanuel Duarte,8,22
Daniel Freitas,8,550
Gaspar Goncalves,8,18
Jose Manuel Diaz,8,161
Mulu Hailemichael,8,2
Goncalo Carvalho,8,228
Alberto Gallego,8,54
Hugo Nunes,8,226
Rob Britton,8,0
Kyle Murphy,8,0
Keegan Swirbull,8,141
Dan McLay,8,520
Christophe Noppe,8,88
Samuel Jose Caldeira,8,242
Rui Vinhas,6,150
Alvaro Trueba,6,37
Carlos Canal,6,35
Willie Smit,6,22
Ricardo Vilela,6,199
Jon Irisarri,6,38
Oier Lazkano,6,218
Joel Nicolau,6,8
Sergio Paulinho,6,46
Rafael Silva,6,136
Oscar Pelegri,6,105
Pedro Miguel Lopes,6,18
Goncalo Leaca,6,12
Andre Ramalho,6,120
David Ribeiro,6,3
Bruno Silva,6,17
Leangel Linarez,6,381
Hideto Nakane,6,30
Nathan Brown,6,0
Nigel Ellsay,6,0
Bram Welten,6,18
Valter Pereira,4,37
Marcio Barbosa,4,0
Nuno Meireles,4,10
David Gonzalez,4,146
Sergio Roman Martin,4,41
Goncalo Amado,4,10
Jesus Alfonso Arozameno,4,0
Fabio Oliveira,4,0
Bernardo Saavedra,4,0
Antonio Sousa Ferreira,4,0
Fabio Costa,4,30
Venceslau Fernandes,4,20
Rafael Lourenco,4,16
Jose Sousa,4,8
Carlos Salgueiro,4,0
Marvin Scheulen,4,62
Pedro Pinto,4,20
Angel Sanchez,4,10
Simon Carr,4,185
Emerson Oronte,4,0
Romain Le Roux,4,18
Matis Louvel,4,108
Alan Riou,4,18
