Names,Cost,Points
Daryl Impey,20,669
Richie Porte,20,791
Simon Yates,18,435
Diego Ulissi,16,551
Romain Bardet,14,25
Elia Viviani,14,110
Sam Bennett,14,496
Caleb Ewan,14,513
Rohan Dennis,14,411
Pavel Sivakov,14,132
George Bennett,14,280
Luis Leon Sanchez,12,73
Jasper Philipsen,12,583
Andrea Vendrame,10,105
Omar Fraile,10,95
Jay McCarthy,10,21
Nathan Haas,10,240
Ben Hermans,10,0
Lucas Hamilton,10,302
Eduard Prades,10,12
Ryan Gibbons,10,51
Chris Harper,10,12
Mattia Cataneo,8,147
Dries Devenyns,8,175
Kristoffer Halvorsen,8,145
Jens Keukeleire,8,20
Marc Sarreau,8,102
Miles Scotson,8,22
Andre Greipel,8,298
Thomas De Gendt,8,24
Giacomo Nizzolo,8,226
Chris Lawless,8,101
Dylan Van Baarle,8,366
Timo Roosen,8,62
Antwan Tolhoek,8,2
Rob Power,8,226
Kenny Elissonde,8,32
Mads Pedersen,8,59
Geoffrey Bouchard,6,17
Clement Chevrier,6,2
Ben Gastauer,6,0
Larry Warbasse,6,0
Manuele Boaro,6,156
Laurens De Vreese,6,68
Fabio Felline,6,187
Daniil Fominykh,6,16
Dmitriy Gruzdev,6,16
Marco Haller,6,5
Domen Novak,6,22
Hermann Pernsteiner,6,165
Luka Pibernik,6,5
Rafael Valls,6,0
Erik Baska,6,188
Martin Laas,6,74
Michael Schwarzmann,6,4
Josef Cerny,6,12
Simon Geschke,6,379
Joey Rosskopf,6,211
Szymon Sajnok,6,0
Fran Ventoso,6,2
Lukasz Wisniowski,6,2
Simone Consonni,6,122
Fabio Sabatini,6,6
Kenneth Vanbilsen,6,6
Joao Almeida,6,28
Shane Archbold,6,28
Iljo Keisse,6,28
Michael Morkov,6,164
Mitch Docker,6,0
Lachlan Morton,6,0
Neilson Powless,6,94
Jonas Rutsch,6,0
Tom Scully,6,0
Bruno Armirail,6,151
Kilian Frankiny,6,54
Fabian Lienhard,6,0
Guillaume Boivin,6,25
Alex Dowsett,6,0
James Piccoli,6,36
Rick Zabel,6,2
Adam Hansen,6,24
Tosh Van Der Sande,6,24
Jack Bauer,6,64
Luke Durbridge,6,64
Michael Hepburn,6,64
Cameron Meyer,6,64
Lluis Mas,6,10
Juergen Roelandts,6,25
Sergio Samitier,6,10
Samuele Battistella,6,6
Stefan De Bod,6,6
Danilo Wyss,6,6
Owain Doull,6,48
Luke Rowe,6,48
Lennard Hofstede,6,2
Taco Van Der Hoorn,6,2
Alberto Dainese,6,148
Jai Hindley,6,98
Michael Storer,6,150
Mikkel Bjerg,6,26
Sven Erik Bystrom,6,178
Vegard Stake Laengen,6,28
Marco Marcato,6,31
Alexandr Riabushenko,6,20
Nicholas White,6,0
Axel Domont,4,0
Yukiya Arashiro,4,10
Santiago Buitrago,4,67
Cesare Benedetti,4,4
Juraj Sagan,4,4
Ide Schelling,4,14
Guillaume Van Keirsbulck,4,2
Mathias Le Turnier,4,6
Marco Mathis,4,6
Mickael Delage,4,0
Jacopo Guarnieri,4,0
Omer Goldstein,4,24
Jonathan Dibben,4,24
Matthew Holmes,4,216
Roger Kluge,4,29
Jorge Arcas,4,12
Gabriel Cullaigh,4,30
Juri Hollmann,4,0
Dylan Sutherland,4,94
Rasmus Tiller,4,6
Ian Stannard,4,58
Bert-Jan Lindeman,4,2
Max Kanter,4,33
Asbjorn Kragh Andersen,4,33
Florian Stork,4,63
Koen De Kort,4,32
Juan Pedro Lopez,4,32
Kiel Reijnen,4,32
Michel Ries,4,32
Jarrad Drizners,4,114
Samuel Jenner,4,49
Tyler Lindorff,4,0
Kelland O'Brien,4,0
Cameron Scott,4,0
Sam Welsford,4,56
