Names,Cost,Points
Lorena Wiebes,14,160
Elisa Longo Borghini,14,90
Elisa Balsamo,14,54
Christine Majerus,14,50
Lisa Brennauer,12,140
Amy Pieters,12,58
Ellen van Dijk,10,85
Jolien D'Hoore,10,26
Chantal Blaak,10,9
Lotte Kopecky,8,120
Sarah Roy,8,110
Alison Jackson,8,100
Alice Barnes,8,75
Riejanne Markus,8,27
Maria Giulia Confalonieri,8,12
Sofia Bertizzolo,6,80
Lonneke Uneken,6,66
Franziska Koch,6,58
Susanne Andersen,6,55
Eugenie Duval,6,55
Jeanne Korevaar,6,24
Julie Leth,6,12
Arianna Fidanza,6,6
Kathrin Schweinberger,6,3
Julia Soek,4,52
Romy Kasper,4,50
Clara Copponi,4,42
Vittoria Guazzini,4,41
Pfeiffer Georgi,4,20
Franziska Brausse,4,12
Sarah Rijkes,4,12
Lea Lin Teutenberg,4,12
Danique Braam,4,6
Alana Castrique,4,6
Abby-Mae Parkinson,4,6
Jesse Vandenbulcke,4,6
