Names,Cost,Points
Wout Van Aert,20,202
Mathieu Van Der Poel,20,192
Sep Vanmarcke,12,142
Oliver Naesen,12,85
Alexander Kristoff,12,60
Jasper Stuyven,12,36
Sam Bennett,12,24
Matteo Trentin,10,308
Florian Senechal,10,292
Yves Lampaert,10,236
Kasper Asgreen,10,160
Dylan Teuns,10,146
Mads Pedersen,8,358
Stefan Kueng,8,268
Alberto Bettiol,8,252
John Degenkolb,8,222
Mike Teunissen,8,137
Andrea Pasqualon,8,55
Cees Bol,8,50
Edward Theuns,8,36
Zdenek Stybar,8,24
Tim Merlier,8,20
Luke Rowe,6,167
Florian Vermeersch,6,162
Jempy Drucker,6,80
Alexis Gougeard,6,72
Gianni Vermeersch,6,41
Amaury Capiot,6,40
Toms Skujins,6,36
Mark Cavendish,6,36
Alexander Konychev,6,36
Hugo Hofstetter,6,35
Tim Declercq,6,24
Reinardt Janse Van Rensburg,6,15
Jonas Koch,6,12
Anthony Turgis,6,10
Johan Jacobs,4,75
Silvan Dillier,4,45
Alex Kirsch,4,36
Ryan Mullen,4,36
Kiel Reijnen,4,36
Julien Morice,4,36
Kenny Molly,4,36
Leonardo Basso,4,36
Gilles De Wilde,4,36
Cyril Lemoine,4,30
Frederik Frison,4,25
Bert Van Lerberghe,4,24
Michael Schaer,4,12
Gijs Van Hoecke,4,12
Nathan Van Hooydonck,4,12
Guillaume Van Keirsbulck,4,12
Georg Zimmermann,4,12
