Names,Cost,Points
Mathieu Van Der Poel,20,520
Wout Van Aert,20,470
Alexander Kristoff,12,300
Oliver Naesen,12,200
Sep Vanmarcke,12,84
Jasper Stuyven,12,30
Yves Lampaert,10,240
Tiesj Benoot,10,150
Dylan Teuns,10,140
Florian Senechal,10,130
Kasper Asgreen,10,120
Dylan Van Baarle,8,180
John Degenkolb,8,160
Valentin Madouas,8,110
Alberto Bettiol,8,90
Jasper De Buyst,8,78
Nils Politt,8,72
Dries De Bondt,8,60
Luka Mezgec,8,48
Andrea Pasqualon,8,42
Romain Bardet,8,36
Jens Keukeleire,8,24
Max Walscheid,8,6
Anthony Turgis,6,260
Dimitri Claeys,6,220
Gregor Muehlberger,6,120
Danny Van Poppel,6,120
Xandro Meurisse,6,100
Sven Erik Bystrom,6,86
Petr Vakoc,6,60
Gianni Vermeersch,6,60
Samuele Battistella,6,60
Amaury Capiot,6,54
Amund Jansen,6,40
Rui Oliveira,6,20
Michael Gogl,6,18
Gijs Van Hoecke,4,120
Fabio Van Den Bossche,4,120
Mickael Delage,4,60
Alexander Krieger,4,60
Jonas Rickaert,4,60
Otto Vergaerde,4,60
Dimitri Peyskens,4,60
Pascal Eenkhoorn,4,40
Bert-Jan Lindeman,4,40
Timo Roosen,4,40
Taco Van Der Hoorn,4,40
Maarten Wynants,4,40
Tom Bohli,4,20
Vegard Stake Laengen,4,20
Marco Marcato,4,20
Arjen Livyns,4,12
