Names,Cost,Points
Sam Bennett,12,130
Alexander Kristoff,12,90
Pascal Ackermann,12,50
Caleb Ewan,10,250
Florian Senechal,10,5
Tim Merlier,8,180
Jasper Philipsen,8,160
Jasper De Buyst,8,36
Luka Mezgec,8,20
Niccolo Bonifazio,6,220
Bryan Cocquard,6,200
Amaury Capiot,6,150
Piotr Havik,6,144
Arvid De Kleijn,6,140
Chris Juul-Jensen,6,108
Nacer Bouhanni,6,100
Michael Van Staeyen,6,95
Edward Theuns,6,85
Hugo Hofstetter,6,80
Reinardt Janse Van Rensburg,6,75
Mark Cavendish,6,72
Jake Stewart,6,55
Florian Vermeersch,6,36
Piet Allegaert,6,25
Adrien Petit,6,24
Anthony Turgis,6,24
Jens Debusschere,6,12
Christophe Laporte,6,10
Romain Cardis,4,134
Itamar Einhorn,4,120
Travis McCabe,4,108
Dmitriy Gruzdev,4,108
Luc Wirtgen,4,108
Michael Schaer,4,108
Max Kanter,4,70
Davide Martinelli,4,65
Alfdan De Decker,4,60
Evaldas Siskevicius,4,45
Bert Van Lerberghe,4,40
Frederik Frison,4,36
Roger Kluge,4,36
Nikolas Maes,4,36
Brian Van Goethem,4,36
Guillaume Boivin,4,35
Dusan Rajovic,4,30
Florian Maitre,4,24
Geoffrey Soupe,4,24
Dries Van Gestel,4,24
Ryan Mullen,4,15
Frederik Backaert,4,12
Kris Boeckmans,4,12
Adrien Garel,4,12
Jeremy Lecroq,4,12
Julien Morice,4,12
