Names,Cost,Points
Julian Alaphilippe,20,45
Mathieu Van Der Poel,20,12
Tim Merlier,10,200
Yves Lampaert,10,180
Alexander Kristoff,10,150
Greg Van Avermaet,10,140
Florian Senechal,10,120
Jasper Stuyven,10,110
Oliver Naesen,10,60
Matteo Trentin,10,55
Arnaud Demare,10,50
Tom Pidcock,10,36
Ivan Garcia Cortina,10,20
Jasper Philipsen,10,12
Kasper Asgreen,10,5
Dylan Van Baarle,8,358
Christophe Laporte,8,220
Bryan Coquard,8,85
Giacomo Nizzolo,8,80
Tiesj Benoot,8,40
Elia Viviani,8,24
Ethan Hayter,6,172
Tosh Van Der Sande,6,160
Anthony Turgis,6,130
Luke Durbridge,6,90
Arjen Livyns,6,70
Owain Doull,6,66
Heinrich Haussler,6,65
Florian Vermeersch,6,36
Ryan Gibbons,6,35
Rui Oliveira,6,25
Jempy Drucker,6,24
Pascal Eenkhoorn,6,15
Dries De Bondt,6,12
Silvan Dillier,6,12
Jonas Rickaert,6,12
Victor Campenaerts,6,10
Boy Van Poppel,4,95
Jordi Warlop,4,75
Jelle Wallays,4,60
Leonardo Basso,4,36
Michal Golas,4,36
Cameron Wurf,4,36
Tom Bohli,4,24
Andre Carvalho,4,24
Kenneth Vanbilsen,4,24
Otto Vergaerde,4,12
