Names,Cost,Points
Mathieu Van Der Poel,20,236
Wout Van Aert,20,100
Davide Ballerini,12,85
Kasper Asgreen,10,383
Florian Senechal,10,292
Oliver Naesen,10,216
Greg Van Avermaet,10,186
Yves Lampaert,10,150
Jasper Stuyven,10,85
Matteo Trentin,10,65
Tom Pidcock,10,30
Ivan Garcia Cortina,10,20
John Degenkolb,10,10
Sep Vanmarcke,10,5
Zdenek Stybar,8,256
Dylan Van Baarle,8,176
Tiesj Benoot,8,80
Stefan Kueng,8,55
Niki Terpstra,8,36
Marco Haller,6,146
Gianni Vermeersch,6,132
Markus Hoelgaard,6,130
Anthony Turgis,6,95
Florian Vermeersch,6,75
Jasper De Buyst,6,70
Tim Declercq,6,60
Bert Van Lerberghe,6,60
Dimitri Claeys,6,60
Joris Nieuwenhuis,6,45
Andre Greipel,6,36
Dries De Bondt,6,12
Xandro Meurisse,6,12
Petr Vakoc,6,12
Jelle Wallays,4,86
Johan Jacobs,4,76
Taco Van Der Hoorn,4,71
Rasmus Tiller,4,36
Alexys Brunel,4,36
Lluis Mas,4,36
Julius Van Den Berg,4,36
Jonathan Milan,4,36
Lindsay De Vylder,4,36
Jonas Koch,4,15
Floris De Tier,4,12
Otto Vergaerde,4,12
