Names,Cost,Points
Wout Van Aert,20,300
Mathieu Van Der Poel,20,240
Julian Alaphilippe,20,90
Peter Sagan,14,260
Caleb Ewan,12,350
Michael Matthews,12,220
Max Schachmann,12,110
Jasper Stuyven,10,400
Alex Aranburu,10,200
Matej Mohoric,10,140
Matteo Trentin,10,130
Greg Van Avermaet,10,120
Tom Pidcock,10,100
Michal Kwiatkowski,10,84
Pascal Ackermann,10,66
Oliver Naesen,10,60
Vincenzo Nibali,10,60
John Degenkolb,10,40
Philippe Gilbert,10,40
Arnaud Demare,10,30
Ivan Garcia Cortina,10,6
Sonny Colbrelli,8,180
Soren Kragh Andersen,8,160
Giacomo Nizzolo,8,78
Quinn Simmons,8,60
Christophe Laporte,8,54
Andrea Vendrame,8,48
Tim Wellens,8,40
Romain Bardet,8,24
Nicola Conci,6,180
Anthony Turgis,6,150
Nacer Bouhanni,6,72
Jacopo Mosca,6,60
Toms Skujins,6,60
Gianni Vermeersch,6,42
Jasper De Buyst,6,40
Gonzalo Serrano,6,36
Edoardo Affini,6,20
Paul Martens,6,20
Sam Oomen,6,20
Timo Roosen,6,20
Robert Stannard,6,18
Julien Simon,6,12
Alessandro Tonelli,4,120
Taco Van Der Hoorn,4,120
Filippo Tagliani,4,120
Charles Planet,4,120
Mathias Norsgaard,4,120
Mattia Viel,4,60
Andrea Peron,4,60
Ryan Mullen,4,60
Frederik Frison,4,40
Roger Kluge,4,40
Christoph Pfingsten,4,20
Jos Van Emden,4,20
