Names,Cost,Points
Mathieu Van Der Poel,20,470
Wout Van Aert,20,280
Julian Alaphilippe,20,60
Peter Sagan,14,100
Michael Matthews,12,60
Davide Ballerini,12,60
Kasper Asgreen,10,520
Greg Van Avermaet,10,300
Jasper Stuyven,10,260
Sep Vanmarcke,10,240
Florian Senechal,10,220
Yves Lampaert,10,144
Alexander Kristoff,10,78
Ivan Garcia Cortina,10,48
Oliver Naesen,10,20
Alberto Bettiol,10,18
John Degenkolb,10,6
Dylan Van Baarle,8,150
Christophe Laporte,8,140
Tiesj Benoot,8,130
Danny Van Poppel,8,90
Nils Politt,8,54
Tim Wellens,8,36
Gianni Vermeersch,6,240
Anthony Turgis,6,180
Dimitri Claeys,6,120
Stefan Bissegger,6,120
Marcus Burghardt,6,110
Tom Van Asbroeck,6,72
Heinrich Haussler,6,66
Tim Declercq,6,60
Bert Van Lerberghe,6,60
Hugo Houle,6,60
Hugo Hofstetter,6,42
Dries De Bondt,6,40
Silvan Dillier,6,40
Jonas Rickaert,6,40
Oscar Riesebeek,6,40
Max Walscheid,6,24
Stan Dewulf,6,20
Michael Schaer,6,20
Damien Touze,6,20
Gijs Van Hoecke,6,20
Fabio Van Den Bossche,4,60
Mathijs Paasschens,4,60
Nico Denz,4,60
Jelle Wallays,4,60
Mathias Norsgaard,4,60
Otto Vergaerde,4,40
Jenthe Biermans,4,30
Lawrence Naesen,4,20
Clement Russo,4,12
