Names,Cost,MSR,BDP,E3,GW,DDV,RVV,SP,DBP,AGR,FW,LBL,Total
Wout Van Aert,20,300,0,100,358,0,280,0,256,460,0,0,1754
Julian Alaphilippe,20,90,0,0,0,45,60,0,0,220,250,410,1075
Mathieu Van Der Poel,20,240,0,236,0,12,470,0,0,0,0,0,958
Tadej Pogacar,16,0,0,0,0,0,0,0,0,0,0,460,460
Jakob Fuglsang,16,0,0,0,0,0,0,0,0,0,70,130,200
Primoz Roglic,14,0,0,0,0,0,0,0,0,60,220,120,400
Peter Sagan,14,260,0,0,0,0,100,0,0,0,0,0,360
Marc Hirschi,14,0,0,0,0,0,0,0,0,0,0,280,280
Michael Matthews,12,220,0,0,268,0,60,0,0,260,50,72,930
Alejandro Vaverde,12,0,0,0,0,0,0,0,0,240,200,320,760
Max Schachmann,12,110,0,0,0,0,0,0,0,360,110,160,740
Sam Bennett,12,0,250,0,72,0,0,268,0,0,0,0,590
Mike Woods,12,0,0,0,0,0,0,0,0,0,180,300,480
Caleb Ewan,12,350,0,0,0,0,0,0,0,0,0,0,350
Davide Ballerini,12,0,0,85,0,0,60,0,0,0,0,0,145
Tom Pidcock,10,100,0,30,0,36,0,0,286,410,150,0,1012
Greg Van Avermaet,10,120,0,186,95,140,300,0,95,30,0,0,966
Matteo Trentin,10,130,0,65,308,55,0,0,272,130,0,0,960
Kasper Asgreen,10,0,0,382,0,5,520,0,0,0,0,0,907
Jasper Stuyven,10,400,0,85,0,110,260,0,0,0,0,0,855
Florian Senechal,10,0,36,292,0,120,220,36,0,0,0,0,704
Yves Lampaert,10,0,0,150,85,180,144,0,0,0,0,0,559
Jasper Philipsen,10,0,220,0,0,12,0,286,0,0,0,0,518
Alex Aranburu,10,200,0,0,0,0,0,0,0,140,90,60,490
Michal Kwiatkowski,10,84,0,0,0,0,0,0,0,220,40,140,484
Pascal Ackermann,10,66,200,0,0,0,0,186,0,0,0,0,452
Matej Mohoric,10,140,0,0,0,0,0,0,0,160,0,150,450
Oliver Naesen,10,60,0,216,75,60,20,0,0,0,0,0,431
Bauke Mollema,10,0,0,0,0,0,0,0,0,0,100,180,280
Alexander Kristoff,10,0,0,0,27,150,78,0,0,0,0,0,255
Sep Vanmarcke,10,0,0,5,0,0,240,0,0,0,0,0,245
Tim Merlier,10,0,0,0,0,200,0,36,0,0,0,0,236
Warren Barguil,10,0,0,0,0,0,0,0,0,36,160,30,226
Benoit Cosnefroy,10,0,0,0,0,0,0,0,130,0,65,0,195
Davide Formolo,10,0,0,0,0,0,0,0,0,0,0,150,150
Fernando Gaviria,10,0,85,0,0,0,0,0,0,0,0,0,85
Dylan Van Baarle,8,0,0,176,130,358,150,0,0,40,0,0,854
Giacomo Nizzolo,8,78,180,0,328,80,0,166,0,0,0,0,832
Tiesj Benoot,8,0,0,80,0,40,130,0,0,100,0,200,550
Sonny Colbrelli,8,180,75,0,288,0,0,0,0,0,0,0,543
David Gaudu,8,0,0,0,0,0,0,0,0,0,140,360,500
Christophe Laporte,8,54,0,0,0,220,140,0,65,0,0,0,479
Danny Van Poppel,8,0,0,0,112,0,90,216,0,0,0,0,418
Stefan Kueng,8,0,0,55,258,0,0,0,0,0,0,0,313
Zdenek Stybar,8,0,0,256,30,0,0,0,0,0,0,0,286
Patrick Konrad,8,0,0,0,0,0,0,0,0,130,80,66,276
Richard Carapaz,8,0,0,0,0,0,0,0,36,58,120,60,274
Kristian Sbaragli,8,0,0,0,0,0,0,0,35,200,30,0,265
Esteban Chaves,8,0,0,0,0,0,0,0,0,0,130,110,240
Cees Bol,8,0,140,0,0,0,0,55,0,0,0,0,195
Nils Politt,8,0,0,0,0,0,54,121,0,0,0,0,175
Soren Kragh Andersen,8,160,0,0,0,0,0,0,0,0,0,0,160
Elia Viviani,8,0,120,0,0,24,0,0,0,0,0,0,144
Dylan Teuns,8,0,0,0,0,0,0,0,140,0,0,0,140
Valentin Madouas,8,0,0,0,0,0,0,0,85,24,0,20,129
Bryan Coquard,8,0,0,0,0,85,0,0,36,0,0,0,121
Michael Valgren,8,0,0,0,0,0,0,0,0,120,0,0,120
Edward Theuns,8,0,0,0,0,0,0,0,0,120,0,0,120
Kristoffer Halvorsen,8,0,65,0,0,0,0,0,0,0,0,0,65
Anthony Turgis,6,150,0,95,120,130,180,0,0,0,0,0,675
Gianni Vermeersch,6,42,0,132,110,0,240,0,0,0,0,0,524
Tosh Van Der Sande,6,0,0,0,0,160,0,0,45,150,0,0,355
Michael Morkov,6,0,166,0,0,0,0,117,0,0,0,0,283
Toms Skujins,6,60,0,0,0,0,0,0,160,0,0,54,274
Marcus Burghardt,6,0,0,0,0,0,110,76,60,20,0,0,266
Ide Schelling,6,0,0,0,0,0,0,0,180,80,0,0,260
Loic Vliegen,6,0,0,0,0,0,0,0,0,120,0,120,240
Jonas Rickaert,6,0,24,0,0,12,40,162,0,0,0,0,238
Max Walscheid,6,0,25,0,49,0,24,131,0,0,0,0,229
Dries De Bondt,6,0,0,12,0,12,40,71,90,0,0,0,225
Mark Cavendish,6,0,0,0,0,0,0,224,0,0,0,0,224
Markus Hoelgaard,6,0,0,130,0,0,0,0,15,72,0,0,217
Dimitri Claeys,6,0,0,60,24,0,120,0,0,0,0,0,204
Hugo Hofstetter,6,0,150,0,0,0,42,0,0,0,0,0,192
Florian Vermeersch,6,0,80,75,0,36,0,0,0,0,0,0,191
Nicola Conci,6,180,0,0,0,0,0,0,0,0,5,0,185
Oscar Riesebeek,6,0,24,0,0,0,40,0,120,0,0,0,184
Andreas Leknessund,6,0,0,0,0,0,0,0,182,0,0,0,182
Ryan Gibbons,6,0,0,0,12,35,0,0,12,120,0,0,179
Ethan Hayter,6,0,0,0,0,172,0,0,0,0,0,0,172
Robert Stannard,6,18,0,0,0,0,0,0,150,0,0,0,168
Stan Dewulf,6,0,0,0,0,0,20,25,0,120,0,0,165
Timothy Dupont,6,0,160,0,0,0,0,0,0,0,0,0,160
Marco Haller,6,0,0,146,0,0,0,0,0,0,0,0,146
Heinrich Haussler,6,0,0,0,10,65,66,0,0,0,0,0,141
Luca Mozzato,6,0,0,0,0,0,0,140,0,0,0,0,140
Owain Doull,6,0,0,0,70,66,0,0,0,0,0,0,136
Sander Armee,6,0,0,0,0,0,0,0,20,0,108,0,128
