Names,Cost,FW,LBL,DBP,GW,SP,RVV,DP,Total
Mathieu Van Der Poel,20,0,220,256,192,0,520,48,1236
Wout Van Aert,20,0,0,0,202,0,470,0,672
Julian Alaphilippe,20,0,300,322,0,0,0,0,622
Tadej Pogacar,16,120,360,0,0,0,0,0,480
Michael Woods,14,200,200,0,0,0,0,0,400
Michal Kwiatkowski,12,150,150,186,0,0,0,0,486
Alexander Kristoff,12,0,0,0,60,90,300,30,480
Oliver Naesen,12,0,0,0,85,0,200,0,285
Sep Vanmarcke,12,0,0,0,142,0,84,0,226
Sam Bennett,12,0,0,0,24,130,0,0,154
Jasper Stuyven,12,0,0,0,36,0,30,40,106
Pascal Ackermann,12,0,0,0,0,50,0,0,50
Yves Lampaert,10,0,0,0,236,0,240,346,822
Marc Hirschi,10,250,410,0,0,0,0,0,660
Florian Senechal,10,0,0,0,292,5,130,130,557
Kasper Asgreen,10,0,0,0,160,0,120,252,532
Matteo Trentin,10,0,0,0,308,0,0,222,530
Primoz Roglic,10,0,460,0,0,0,0,0,460
Dylan Teuns,10,0,24,95,146,0,140,0,405
Tiesj Benoot,10,0,220,0,0,0,150,0,370
Dan Martin,10,160,140,0,0,0,0,0,300
Caleb Ewan,10,0,0,0,0,250,0,0,250
Tim Wellens,10,50,0,0,0,0,0,0,50
John Degenkolb,8,0,0,0,222,0,160,252,634
Warren Barguil,8,180,160,160,0,0,0,0,500
Tim Merlier,8,0,0,0,20,180,0,272,472
Stefan Kueng,8,0,0,0,268,0,0,166,434
Mads Pedersen,8,0,0,0,358,0,0,0,358
Alberto Bettiol,8,0,0,0,252,0,90,0,342
Matej Mohoric,8,30,260,0,0,0,0,0,290
Valentin Madouas,8,100,36,0,0,0,110,0,246
Richie Porte,8,130,90,0,0,0,0,0,220
Sonny Colbrelli,8,0,0,216,0,0,0,0,216
Tom Dumoulin,8,0,190,0,0,0,0,0,190
Jelle Vanendert,8,95,48,45,0,0,0,0,188
Andrea Pasqualon,8,0,0,85,55,0,42,0,182
Dylan Van Baarle,8,0,0,0,0,0,180,0,180
Jasper De Buyst,8,0,0,60,0,36,78,0,174
Dani Martinez,8,102,66,0,0,0,0,0,168
Jasper Philipsen,8,0,0,0,0,160,0,0,160
Luka Mezgec,8,0,0,75,0,20,48,0,143
Mike Teunissen,8,0,0,0,137,0,0,5,142
Edward Theuns,8,0,0,0,36,85,0,20,141
Patrick Konrad,8,140,0,0,0,0,0,0,140
Rigoberto Uran,8,12,100,0,0,0,0,0,112
Guillaume Martin,8,0,110,0,0,0,0,0,110
Max Walscheid,8,0,0,0,0,0,6,90,96
Dries De Bondt,8,0,0,24,0,0,60,0,84
Wout Poels,8,75,0,0,0,0,0,0,75
Nils Politt,8,0,0,0,0,0,72,0,72
Romain Bardet,8,0,0,32,0,0,36,0,68
Lennard Kaemna,8,0,60,0,0,0,0,0,60
Zdenek Stybar,8,0,0,36,24,0,0,0,60
Cees Bol,8,0,0,0,50,0,0,0,50
Alexis Vuillermoz,8,49,0,0,0,0,0,0,49
Jens Keukeleire,8,12,0,0,0,0,24,0,36
Michael Valgren,8,0,0,30,0,0,0,0,30
Rui Costa,8,0,20,0,0,0,0,0,20
Sergio Higuita,8,12,0,0,0,0,0,0,12
Enrico Gasparotto,8,5,0,0,0,0,0,0,5
Benoit Cosnefroy,6,220,78,272,0,0,0,0,570
Anthony Turgis,6,0,0,130,10,24,260,0,424
Tim Declercq,6,0,0,0,24,0,0,328,352
Jempy Drucker,6,0,0,0,80,0,0,196,276
Amaury Capiot,6,0,0,5,40,150,54,0,249
Andrea Bagioli,6,60,0,176,0,0,0,0,236
Sven Erik Bystrom,6,0,0,0,0,0,86,136,222
Niccolo Bonifazio,6,0,0,0,0,220,0,0,220
Dimitri Claeys,6,0,0,0,0,0,220,0,220
Dries Devenyns,6,0,0,146,0,0,0,60,206
Rudy Molard,6,85,120,0,0,0,0,0,205
Hugo Hofstetter,6,0,0,0,35,80,0,85,200
Bryan Coquard,6,0,0,0,0,200,0,0,200
Florian Vermeersch,6,0,0,0,162,36,0,0,198
Luke Rowe,6,0,0,0,167,0,0,0,167
