Names,Cost,FW,LBL,DBP,GW,SP,RVV,DP,Total
Mathieu Van Der Poel,20,0,220,256,192,0,520,48,1236
Wout Van Aert,20,0,0,0,202,0,470,0,672
Julian Alaphilippe,20,0,300,322,0,0,0,0,622
Tadej Pogacar,16,120,360,0,0,0,0,0,480
Michael Woods,14,200,200,0,0,0,0,0,400
Michal Kwiatkowski,12,150,150,186,0,0,0,0,486
Alexander Kristoff,12,0,0,0,60,90,300,30,480
Oliver Naesen,12,0,0,0,85,0,200,0,285
Sep Vanmarcke,12,0,0,0,142,0,84,0,226
Sam Bennett,12,0,0,0,24,130,0,0,154
Yves Lampaert,10,0,0,0,236,0,240,346,822
Marc Hirschi,10,250,410,0,0,0,0,0,660
Florian Senechal,10,0,0,0,292,5,130,130,557
Kasper Asgreen,10,0,0,0,160,0,120,252,532
Matteo Trentin,10,0,0,0,308,0,0,222,530
Primoz Roglic,10,0,460,0,0,0,0,0,460
Dylan Teuns,10,0,24,95,146,0,140,0,405
Tiesj Benoot,10,0,220,0,0,0,150,0,370
Dan Martin,10,160,140,0,0,0,0,0,300
Caleb Ewan,10,0,0,0,0,250,0,0,250
John Degenkolb,8,0,0,0,222,0,160,252,634
Warren Barguil,8,180,160,160,0,0,0,0,500
Tim Merlier,8,0,0,0,20,180,0,272,472
Stefan Kueng,8,0,0,0,268,0,0,166,434
Mads Pedersen,8,0,0,0,358,0,0,0,358
Alberto Bettiol,8,0,0,0,252,0,90,0,342
Matej Mohoric,8,30,260,0,0,0,0,0,290
Valentin Madouas,8,100,36,0,0,0,110,0,246
Richie Porte,8,130,90,0,0,0,0,0,220
Sonny Colbrelli,8,0,0,216,0,0,0,0,216
Tom Dumoulin,8,0,190,0,0,0,0,0,190
Jelle Vanendert,8,95,48,45,0,0,0,0,188
Andrea Pasqualon,8,0,0,85,55,0,42,0,182
Dylan Van Baarle,8,0,0,0,0,0,180,0,180
Dani Martinez,8,102,66,0,0,0,0,0,168
Jasper Philipsen,8,0,0,0,0,160,0,0,160
Luka Mezgec,8,0,0,75,0,20,48,0,143
Mike Teunissen,8,0,0,0,137,0,0,5,142
Patrick Konrad,8,140,0,0,0,0,0,0,140
Rigoberto Uran,8,12,100,0,0,0,0,0,112
Guillaume Martin,8,0,110,0,0,0,0,0,110
Max Walscheid,8,0,0,0,0,0,6,90,96
Wout Poels,8,75,0,0,0,0,0,0,75
Benoit Cosnefroy,6,220,78,272,0,0,0,0,570
Anthony Turgis,6,0,0,130,10,24,260,0,424
Tim Declercq,6,0,0,0,24,0,0,328,352
Jempy Drucker,6,0,0,0,80,0,0,196,276
Amaury Capiot,6,0,0,5,40,150,54,0,249
Andrea Bagioli,6,60,0,176,0,0,0,0,236
Sven Erik Bystrom,6,0,0,0,0,0,86,136,222
Niccolo Bonifazio,6,0,0,0,0,220,0,0,220
Dimitri Claeys,6,0,0,0,0,0,220,0,220
Dries Devenyns,6,0,0,146,0,0,0,60,206
Rudy Molard,6,85,120,0,0,0,0,0,205
Hugo Hofstetter,6,0,0,0,35,80,0,85,200
Bryan Coquard,6,0,0,0,0,200,0,0,200
Florian Vermeersch,6,0,0,0,162,36,0,0,198
Luke Rowe,6,0,0,0,167,0,0,0,167
Piotr Havik,6,0,0,0,0,144,0,0,144
Christophe Laporte,6,0,0,0,0,10,0,131,141
Arvid De Kleijn,6,0,0,0,0,140,0,0,140
Gorka Izagirre,6,40,84,0,0,0,0,0,124
Alessandro Covi,6,0,0,120,0,0,0,0,120
Gregor Muehlberger,6,0,0,0,0,0,120,0,120
Danny Van Poppel,6,0,0,0,0,0,120,0,120
Simon Gescke,6,110,6,0,0,0,0,0,116
Jesus Herrada,6,80,30,0,0,0,0,0,110
Chris Juul-Jensen,6,0,0,0,0,108,0,0,108
Dorian Godon,6,24,0,82,0,0,0,0,106
Nacer Bouhanni,6,0,0,0,0,100,0,0,100
Xandro Meurisse,6,0,0,0,0,0,100,0,100
Michael Van Staeyen,6,0,0,0,0,95,0,0,95
Krstian Sbaragli,6,10,0,79,0,0,0,0,89
Alexis Gougeard,6,0,0,0,72,0,0,0,72
Tom Van Asbroeck,6,0,0,0,0,0,0,65,65
Lukas Poestelberger,6,0,0,0,0,0,0,60,60
Bert Van Lerberghe,4,0,0,0,24,40,0,272,336
Jonas Rickaert ,4,0,0,0,0,0,60,194,254
Michael Schaer,4,0,120,0,12,108,0,0,240
Mauri Vansevenant,4,144,0,36,0,0,0,60,240
Alexander Krieger,4,0,0,24,0,0,60,92,176
Omar Fraile,4,20,72,76,0,0,0,0,168
Romain Cardis,4,0,0,0,0,134,0,25,159
Mathijs Paasschens,4,72,60,0,0,0,0,0,132
Gijs Van Hoecke,4,0,0,0,12,0,120,0,132
Itamar Einhorn,4,0,0,0,0,120,0,0,120
Fabio Van Den Bossche,4,0,0,0,0,0,120,0,120
Travis McCabe,4,0,0,0,0,108,0,0,108
Dmitriy Gruzdev,4,0,0,0,0,108,0,0,108
Luc Wirtgen,4,0,0,0,0,108,0,0,108
Stan Dewulf,4,0,0,100,0,0,0,0,100
Arjen Livyns,4,0,0,80,0,0,12,0,92
Johan Jacobs,4,0,0,0,75,0,0,15,90
Ide Schelling,4,0,0,90,0,0,0,0,90
Guillaume Van Keirsbulck,4,0,0,0,12,0,0,75,87
Marlon Gaillard,4,72,0,0,0,0,0,0,72
Aaron Van Poucke,4,72,0,0,0,0,0,0,72
