Names,Cost,Points
Mathieu Van Der Poel,20,48
Jasper Stuyven,12,40
Alexander Kristoff,12,30
Yves Lampaert,10,346
Kasper Asgreen,10,252
Matteo Trentin,10,222
Florian Senechal,10,130
Tim Merlier,8,272
John Degenkolb,8,252
Stefan Kueng,8,166
Max Walscheid,8,90
Edward Theuns,8,20
Mike Teunissen,8,5
Tim Declercq,6,328
Jempy Drucker,6,196
Sven Erik Bystrom,6,136
Christophe Laporte,6,131
Hugo Hofstetter,6,85
Tom Van Asbroeck,6,65
Lukas Poestelberger,6,60
Dries Devenyns,6,60
Oscar Riesebeek,6,22
Gianni Vermeersch,6,12
Bert Van Lerberghe,4,272
Jonas Rickaert,4,194
Alexander Krieger,4,92
Guillaume Van Keirsbulck,4,75
Mauri Vansevenant,4,60
Timo Roosen,4,55
Roger Kluge,4,50
Taco Van Der Hoorn,4,45
Nikolas Maes,4,35
Romain Cardis,4,25
Johan Jacobs,4,15
Senne Leysen,4,12
