Names,Cost,Points
Tadej Pogacar,16,120
Michael Woods,14,200
Michal Kwiatkowski,12,150
Marc Hirschi,10,250
Dan Martin,10,160
Tim Wellens,10,50
Warren Barguil,8,180
Patrick Konrad,8,140
Richie Porte,8,130
Dani Martinez,8,102
Valentin Madouas,8,100
Jelle Vanendert,8,95
Wout Poels,8,75
Alexis Vuillermoz,8,49
Matej Mohoric,8,30
Rigoberto Uran,8,12
Sergio Higuita,8,12
Jens Keukeleire,8,12
Enrico Gasparotto,8,5
Benoit Cosnefroy,6,220
Simon Geschke,6,110
Rudy Molard,6,85
Jesus Herrada,6,80
Krists Neilands,6,70
Nick Schultz,6,65
Andrea Bagioli,6,60
Louis Vervaeke,6,45
Gorka Izagirre,6,40
Mathias Frank,6,24
Dorian Godon,6,24
Julien Simon,6,15
Hugh Carthy,6,12
Kristian Sbaragli,6,10
Mauri Vansevenant,4,144
Marlon Gaillard,4,72
Mathijs Paasschens,4,72
Aaron Van Poucke,4,72
Clement Champoussin,4,59
Hugo Houle,4,55
Rob Power,4,36
Michael Storer,4,36
Ilan Van Wilder,4,36
Thymen Arensman,4,36
Mark Donovan,4,36
Felix Gall,4,36
Mickael Cherel,4,24
Quentin Jauregui,4,24
Omar Fraile,4,20
Alex Howes,4,12
