Names,Cost,Points
Julian Alaphilippe,20,300
Mathieu Van Der Poel,20,220
Tadej Pogacar,16,360
Michael Woods,14,200
Michal Kwiatkowski,12,150
Primoz Roglic,10,460
Marc Hirschi,10,410
Tiesj Benoot,10,220
Dan Martin,10,140
Dylan Teuns,10,24
Matej Mohoric,8,260
Tom Dumoulin,8,190
Warren Barguil,8,160
Guillaume Martin,8,110
Rigoberto Uran,8,100
Richie Porte,8,90
Dani Martinez,8,66
Lennard Kaemna,8,60
Jelle Vanendert,8,48
Valentin Madouas,8,36
Rui Costa,8,20
Rudy Molard,6,120
Gorka Izagirre,6,84
Benoit Cosnefroy,6,78
Laurens De Plus,6,60
Jonas Vingegaard,6,60
Nick Schultz,6,54
Loic Vliegen,6,42
Jesus Herrada,6,30
Sergio Henao,6,20
Jan Polanc,6,20
Julien Simon,6,18
Carlos Verona,6,12
Simon Geschke,6,6
Michael Schaer,4,120
Omar Fraile,4,72
Omer Goldstein,4,60
Valentin Ferron,4,60
Paul Ourselin,4,60
Kobe Goossens,4,60
Inigo Elosegui,4,60
Kenny Molly,4,60
Mathijs Paasschens,4,60
Gino Maeder,4,60
Lennard Hofstede,4,60
Tom Leezer,4,60
Paul Martens,4,60
Rob Power,4,40
Michael Storer,4,40
Ilan Van Wilder,4,40
Thymen Arensman,4,40
Mark Donovan,4,40
Andres Camilo Ardila,4,20
Cristian Camilo Munoz,4,20
Edward Ravasi,4,20
