Names,Cost,Points
Wout Van Aert,20,460
Julian Alaphilippe,20,220
Primoz Roglic,14,60
Max Schachmann,12,360
Michael Matthews,12,260
Alejandro Valverde,12,240
Tom Pidcock,10,410
Michal Kwiatkowski,10,220
Matej Mohoric,10,160
Alex Aranburu,10,140
Matteo Trentin,10,130
Warren Barguil,10,36
Greg Van Avermaet,10,30
Kristian Sbaragli,8,200
Patrick Konrad,8,130
Michael Valgren,8,120
Edward Theuns,8,120
Tiesj Benoot,8,100
Guillaume Martin,8,90
Richard Carapaz,8,58
Rudy Molard,8,48
Sergio Higuita,8,42
Dylan Van Baarle,8,40
Valentin Madouas,8,24
Wilco Kelderman,8,20
Tim Wellens,8,12
Tosh Van Der Sande,6,150
Ryan Gibbons,6,120
Stan Dewulf,6,120
Chad Haga,6,120
Loic Vliegen,6,120
Ide Schelling,6,80
Aurelien Paret-Peintre,6,78
Markus Hoelgaard,6,72
Daryl Impey,6,60
Robert Gesink,6,60
Paul Martens,6,60
Sam Oomen,6,60
Jonas Vingegaard,6,60
Clement Venturini,6,54
Eddie Dunbar,6,40
Luke Rowe,6,40
Marcus Burghardt,6,20
Sergio Henao,6,6
Kenny Molly,4,120
Anders Skaarseth,4,120
Maurits Lammertink,4,120
Sebastien Grignard,4,120
Julien Bernard,4,120
Ben Tulett,4,84
Quinten Hermans,4,66
Lennard Hofstede,4,60
Michal Golas,4,40
Cesare Benedetti,4,20
Patrick Gamper,4,20
