Names,Cost,Points
Wout Van Aert,20,256
Tom Pidcock,10,286
Matteo Trentin,10,272
Benoit Cosnefroy,10,130
Greg Van Avermaet,10,95
Dylan Teuns,8,140
Valentin Madouas,8,85
Christophe Laporte,8,65
Rudy Molard,8,55
Richard Carapaz,8,36
Bryan Coquard,8,36
Kristian Sbaragli,8,35
Andreas Leknessund,6,182
Ide Schelling,6,180
Tom Skujins,6,160
Robert Stannard,6,150
Oscar Riesebeek,6,120
Remi Cavagna,6,100
Dries De Bondt,6,90
Ludovic Robeet,6,72
Jordi Meeus,6,72
Victor Campenaerts,6,70
Marcus Burghardt,6,60
Aurelien Paret-Peintre,6,50
Tosh Van Der Sande,6,45
Pieter Serry,6,40
Eddie Dunbar,6,36
Luke Rowe,6,36
Emmanuel Morin,6,36
Simon Carr,6,25
Pascal Eenkhoorn,6,24
Paul Martens,6,24
Timo Roosen,6,24
Sander Armee,6,20
Markus Hoelgaard,6,15
Sven Erik Bystrom,6,12
Ryan Gibbons,6,12
Alexandr Riabushenko,6,12
Lorrenzo Rota,6,5
Milan Menten,4,80
Sylvain Moniquet,4,75
Julian Mertens,4,72
Anders Skaarseth,4,72
Brent Van Moer,4,72
Leonardo Basso,4,36
Michal Golas,4,36
Cameron Wurf,4,36
Kevin Van Melsen,4,36
Stefano Oldani,4,30
Finn Fisher-Black,4,24
Gijs Leemreize,4,24
Nathan Van Hooydonck,4,24
Vegard Stake Laengen,4,12
Marco Marcato,4,12
Oliveiro Troia,4,12
Maurits Lammertink,4,10
