Names,Cost,Points
Sam Bennett,12,250
Jasper Philipsen,10,220
Pascal Ackermann,10,200
Fernando Gaviria,10,85
Florian Senechal,10,36
Arnaud Demare,10,10
Giacomo Nizzolo,8,180
Cees Bol,8,140
Elia Viviani,8,120
Sonny Colbrelli,8,75
Kristoffer Halvorsen,8,65
David Dekker,8,20
Michael Morkov,6,166
Timothy Dupont,6,160
Hugo Hofstetter,6,150
Stanislaw Aniolkowski,6,110
Florian Vermeersch,6,80
Dan McLay,6,70
Matteo Moschetti,6,60
Gijs Van Hoecke,6,55
Bert Van Lerberghe,6,51
Rick Zabel,6,40
Tim Declercq,6,36
Alvaro Hodeg,6,36
Gerben Thijssen,6,36
Alexander Konychev,6,35
Max Walscheid,6,25
Jonas Rickaert,6,24
Oscar Riesebeek,6,24
Lionel Taminiaux,6,24
Martin Laas,6,17
Clement Russo,4,100
Lorrenzo Manzin,4,95
Jeremy Lecroq,4,90
Arne Marit,4,50
Yevgeniy Gidich,4,45
Erik Nordsaeter Resell,4,36
Barnabas Peak,4,36
Wout Van Elzakker,4,36
Alexis Gougeard,4,36
Stijn Steels,4,36
Brent Van Moer,4,36
Sebastian Mora,4,36
Ruben Apers,4,36
Lawrence Naesen,4,30
Jimmy Janssens,4,24
Senne Leysen,4,24
Scott Thwaites,4,24
Patrick Gamper,4,12
Lukas Poestelberger,4,12
Juraj Sagan,4,12
Michael Schwarzmann,4,12
Ruediger Selig,4,12
