Names,Cost,Points
Julian Alaphilippe,20,410
Tadej Pogacar,16,460
Jakob Fuglsang,16,130
Marc Hirschi,14,280
Primoz Roglic,14,120
Alejandro Valverde,12,320
Mike Woods,12,300
Max Schachmann,12,160
Michael Matthews,12,72
Bauke Mollema,10,180
Davide Formolo,10,150
Matej Mohoric,10,150
Michal Kwiatkowski,10,140
Adam Yates,10,78
Alex Aranburu,10,60
Warren Barguil,10,30
David Gaudu,8,360
Tiesj Benoot,8,200
Esteban Chaves,8,110
Guillaume Martin,8,100
Patrick Konrad,8,66
Rui Costa,8,60
Richard Carapaz,8,60
Tim Wellens,8,42
Joao Almeida,8,40
Mauri Vansevenant,8,40
Wilco Kelderman,8,24
Valentin Madouas,8,20
Rudy Molard,8,20
Lorenzo Rota,6,120
Loic Vliegen,6,120
Jack Haig,6,84
David De La Cruz,6,60
Brandon McNulty,6,60
Toms Skujins,6,54
Aurelien Paret-Peintre,6,48
Dries Devenyns,6,40
Mikkel Honore,6,40
James Knox,6,40
Pieter Serry,6,40
Krists Neilands,6,36
Bruno Armirail,6,20
Romain Seigle,6,20
Jonas Vingegaard,6,18
Omar Fraile,6,6
Aaron Van Poucke,4,120
Laurens Huys,4,120
Mathijs Paasschens,4,120
Sergei Chernetskii,4,120
Tomasz Marczynski,4,120
Vegard Stake Laengen,4,60
William Bonnet,4,20
Matthieu Ladagnous,4,20
