Names,Cost,Points
Tom Pidcock,14,304
Remco Evenepoel,14,258
Michael Matthews,12,140
Giacomo Nizzolo,12,65
Matteo Trentin,12,45
Benoit Cosnefroy,10,328
Warren Barguil,10,272
Tim Wellens,10,228
Dylan Teuns,10,166
Oliver Naesen,10,84
Marc Hirschi,10,25
Michael Valgren,8,100
Mauri Vansevenant,8,85
Michal Kwiatkowski,8,36
Franck Bonnamour,8,10
Xandro Meurisse,6,110
Dorian Godon,6,104
Juan Ayuso,6,40
Luke Rowe,6,36
Victor Campenaerts,6,36
Ludovic Robeet,6,36
Aaron Van Poucke,6,36
Magnus Sheffield,4,358
Ben Turner,4,324
Laurens De Plus,4,131
Daryl Impey,4,90
Hugo Houle,4,75
Jenno Berckmoes,4,70
Vito Braet,4,55
Tony Gallopin,4,50
Cameron Wurf,4,36
Ander Okamika,4,36
Robert Stannard,4,36
Alexis Renard,4,35
Cedric Beullens,4,30
Mikael Cherel,4,24
Lawrence Naesen,4,24
Michael Schaer,4,24
Larry Warbasse,4,24
Tom Devriendt,4,20
Alexandre Delettre,4,15
Winner Anacona,4,12
Benjamin Declercq,4,12
Christophe Noppe,4,12
Lukasz Owsian,4,12
Markus Pajur,4,12
Kevin Vauquelin,4,12
Jonas Gregaard,4,5
