Names,Cost,Points
Jasper Stuyven,12,120
Tim Merlier,10,250
Dylan Groenewegen,10,220
Sam Bennett,10,70
Mark Cavendish,10,25
Nacer Bouhanni,8,200
Max Walscheid,8,180
Arnaud Demare,8,150
Heinrich Haussler,8,110
Biniam Girmay,8,50
Danny Van Poppel,8,45
Luka Mezgec,8,24
Olav Kooij,6,160
Simone Consonni,6,140
Arnaud De Lie,6,130
Michael Morkov,6,95
Max Kanter,6,90
Timothy Dupont,6,85
Enrico Battaglin,6,72
Luca Mozzato,6,40
Michael Gogl,6,36
Xandro Meurisse,6,36
Jonas Rickaert,6,36
Bert Van Lerberghe,6,35
Luke Durbridge,6,24
Arne Marit,6,20
Amaury Capiot,6,12
Stanislaw Aniolkowski,4,100
Lorrenzo Manzin,4,80
Rick Zabel,4,75
Dimitri Peyskens,4,72
Jens Reynders,4,72
Lluis Mas,4,65
Soren Waerenskjold,4,60
Itamar Einhorn,4,55
Maurice Ballerstedt,4,36
Scott Thwaites,4,36
Julien Vermote,4,36
Rudy Barbier,4,30
Alex Edmonson,4,24
Alexander Konychev,4,24
Kelland O'Brien,4,24
Campbell Stewart,4,24
Mikkel Bjerg,4,15
Benjamin Declercq,4,12
Kevin Ledanois,4,12
Christophe Noppe,4,12
Markus Pajur,4,12
Gerben Thijssen,4,10
Milan Fretin,4,5
