Names,Cost,Points
Tadej Pogacar,20,110
Mathieu Van Der Poel,16,322
Tom Pidcock,14,272
Greg Van Avermaet,12,75
Yves Lampaert,12,20
Matteo Trentin,12,5
Tiesj Benoot,10,292
Stefan Kueng,10,222
Jasper Philipsen,10,46
Dylan Van Baarle,10,12
Nils Politt,8,304
Valentin Madouas,8,100
Andrea Pasqualon,8,95
Soren Kragh Andersen,8,70
Gianni Vermeersch,8,61
Niki Terpstra,8,50
Bryan Coquard,8,40
Mike Teunissen,8,39
Elia Viviani,8,12
Victor Campenaerts,6,252
Amaury Capiot,6,90
Jannik Steimle,6,85
Olivier Le Gac,6,65
Dries De Bondt,6,36
Michael Gogl,6,36
Fred Wright,6,30
Olav Kooij,6,24
Timo Roosen,6,24
David Dekker,6,24
Ben Swift,6,12
Kelland O'Brien,4,284
Ben Turner,4,214
Jan Tratnik,4,120
Johan Jacobs,4,107
Magnus Sheffield,4,92
Mathijs Paasschens,4,72
Aaron Verwilst,4,72
Pascal Eenkhoorn,4,69
Matis Louvel,4,60
Alexis Gougeard,4,55
Tobias Bayer,4,36
Julien Vermote,4,36
Mick Van Dijke,4,24
Kim Heiduk,4,12
