Names,Cost,Points
Wout Van Aert,20,382
Kasper Asgreen,14,146
Jasper Stuyven,12,116
Mads Pedersen,12,35
Christophe Laporte,10,364
Stefan Kueng,10,236
Matej Mohoric,10,216
Tiesj Benoot,10,216
Dylan Van Baarle,10,166
Anthony Turgis,10,126
Oliver Naesen,10,50
Florian Senechal,10,36
Alex Aranburu,10,5
Biniam Girmay,8,196
Mike Teunissen,8,191
Valentin Madouas,8,188
Ivan Garcia Cortina,8,75
Tosh Van Der Sande,8,60
Michael Valgren,8,55
Heinrich Haussler,8,30
Gianni Vermeersch,8,10
Jhonatan Narvaez,6,186
Rasmus Tiller,6,136
Nathan Van Hooydonck,6,125
Michael Gogl,6,121
Marco Haller,6,70
Dries De Bondt,6,60
Edoardo Affini,6,60
Olivier Le Gac,6,52
Brent Van Moer,6,36
Daniel Oss,6,36
Jelle Wallays,6,36
Kevin Geniets,6,12
Joris Nieuwenhuis,4,45
Mathijs Paasschens,4,36
Ryan Mullen,4,36
Lukas Poestelberger,4,36
Lasse Norman Hansen,4,36
Alex Edmonson,4,25
Ben Turner,4,20
Cedric Beullens,4,15
Lewis Askey,4,12
Fabian Lienhard,4,12
Tobias Ludwigsson,4,12
