Names,Cost,Points
Tadej Pogacar,20,95
Julian Alaphilippe,16,180
Alejandro Valverde,12,220
Dylan Teuns,10,250
Michael Woods,10,150
Warren Barguil,10,120
Tiesj Benoot,10,100
Benoit Cosnefroy,10,90
Bauke Mollema,10,50
Tim Wellens,10,40
Aleksandr Vlasov,8,200
Dani Martinez,8,160
Rudy Molard,8,130
Alexis Vuillermoz,8,110
Wout Poels,8,66
Neilson Powless,8,60
Damiano Caruso,8,36
Jack Haig,8,36
Enric Mas,8,24
Patrick Konrad,8,12
Diego Ulissi,8,10
Ruben Guerreiro,6,140
Daryl Impey,6,108
Nick Schultz,6,85
Domenico Pozzovivo,6,80
Jesus Herrada,6,75
Simon Carr,6,72
Tobias Halland Johannessen,6,55
Jai Hindley,6,37
Gino Maeder,6,36
Luis Leon Sanchez,6,36
Gorka Izagirre,6,24
Giovanni Aleotti,6,12
Ide Schelling,6,12
Sebastien Reichenbach,6,5
Valentin Ferron,4,144
Bruno Armirail,4,108
Jimmy Janssens,4,108
Simon Guglielmi,4,108
Quentin Pacher,4,70
Mattias Skjelmose Jensen,4,65
Victor Lafay,4,45
Stephen Williams,4,36
Pierre Rolland,4,36
Chris Juul-Jensen,4,36
Luc Wirtgen,4,36
Jens Reynders,4,36
Morten Hulgaard,4,36
Odd Christian Eiking,4,35
Oier Lazkano,4,24
Lluis Mas,4,24
Gregor Muehlberger,4,24
Carlos Verona,4,24
Kamiel Bonneu,4,20
Sylvain Moniquet,4,15
Cesare Benedetti,4,12
Frederik Wandahl,4,12
