Names,Cost,Points
Wout Van Aert,20,155
Kasper Asgreen,14,36
Jasper Stuyven,12,288
Mads Pedersen,12,176
Greg Van Avermaet,12,70
Peter Sagan,12,12
Christophe Laporte,10,328
Tim Merlier,10,150
Alexander Kristoff,10,136
Matej Mohoric,10,120
Anthony Turgis,10,73
Jasper Philipsen,10,50
Alex Aranburu,10,30
Tiesj Benoot,10,24
Biniam Girmay,8,322
Soren Kragh Andersen,8,196
Ivan Garcia Cortina,8,166
Arnaud Demare,8,146
Andrea Pasqualon,8,121
Luka Mezgec,8,90
Florian Vermeersch,8,60
Mike Teunissen,8,24
John Degenkolb,8,20
Edvald Boasson Hagen,8,12
Niki Terpstra,8,12
Piet Allegaert,6,55
Rasmus Tiller,6,41
Nikias Arndt,6,36
Victor Campenaerts,6,36
Ludovic Robeet,6,36
Kevin Geniets,6,36
Aime De Gendt,6,36
Jelle Wallays,6,36
Simone Consonni,6,35
Timo Roosen,6,24
Nathan Van Hooydonck,6,24
Edoardo Affini,6,24
Daniel Oss,6,12
Anders Skaarseth,6,10
Dries Van Gestel,4,272
Arjen Livyns,4,101
Robbe Ghys,4,80
Laurenz Rex,4,75
Ben Turner,4,51
Jonas Koch,4,45
Marijn Van Den Berg,4,40
Alexander Konychev,4,36
Johan Jacobs,4,36
Alex Kirsch,4,36
Lindsay De Vylder,4,36
Lars Saugstad,4,36
Adrien Petit,4,36
Taco Van Der Hoorn,4,36
Kevin Van Melsen,4,36
Maciej Bodnar,4,12
