Names,Cost,Points
Tadej Pogacar,20,240
Wout Van Aert,20,180
Mathieu Van Der Poel,16,300
Primoz Roglic,16,84
Michael Matthews,12,260
Mads Pedersen,12,220
Giacomo Nizzolo,12,78
Peter Sagan,12,40
Matej Mohoric,10,400
Anthony Turgis,10,350
Alex Aranburu,10,120
Florian Senechal,10,110
Christophe Laporte,10,54
Alexander Kristoff,10,30
Jasper Philipsen,10,20
Soren Kragh Andersen,8,200
Damiano Caruso,8,160
Arnaud Demare,8,150
Binian Girmay,8,130
Michal Kwiatkowski,8,90
Lorenzo Rota,8,72
Ivan Garcia Cortina,8,48
Diego Ulissi,8,42
Edvald Boasson Hagen,8,40
Michael Valgren,8,36
Nacer Bouhanni,8,24
Kristian Sbaragli,8,20
Andrea Vendrame,8,6
Phil Bauhaus,6,60
Krists Neilands,6,60
Niccolo Bonifazio,6,40
Daniel Oss,6,40
Julien Simon,6,40
Michael Gogl,6,20
Simone Consonni,6,18
Filippo Fiorelli,6,12
Samuele Rivi,4,240
Alessandro Tonelli,4,240
Jan Tratnik,4,220
Vincenzo Albanese,4,140
Diego Pablo Sevilla,4,120
Filippo Conca,4,120
Yevgeniy Gidich,4,120
Filippo Tagliani,4,120
Artyom Zakharov,4,120
Ricardo Alejandro Zurita,4,120
Quentin Pacher,4,66
Yukiya Arashiro,4,60
Jonathan Milan,4,60
Jasha Suetterlin,4,60
Maciej Bodnar,4,40
Silvan Dillier,4,20
Stefano Oldani,4,20
