Names,Cost,Points
Wout Van Aert,20,350
Mathieu Van Der Poel,16,160
Yves Lampaert,12,210
Jasper Stuyven,12,200
Greg Van Avermaet,12,84
Dylan Van Baarle,10,520
Matej Mohoric,10,360
Stefan Kueng,10,300
Alexander Kristoff,10,130
Florian Senechal,10,120
Christophe Laporte,10,40
Jordi Meeus,8,110
Mike Teunissen,8,106
John Degenkolb,8,78
Andrea Pasqualon,8,72
Filippo Ganna,8,60
Michal Kwiatkowski,8,60
Nils Politt,8,54
Ivan Garcia Cortina,8,36
Valentin Madouas,8,20
Philippe Gilbert,8,6
Luke Rowe,6,60
Baptiste Planckaert,6,48
Timo Roosen,6,40
Nathan Van Hooydonck,6,40
Edoardo Affini,6,40
Olivier Le Gac,6,38
Anders Skaarseth,6,24
Tom Devriendt,4,380
Laurent Pichon,4,240
Adrien Petit,4,220
Ben Turner,4,200
Matis Louvel,4,100
Taco Van Der Hoorn,4,90
Stefan Bissegger,4,60
Magnus Sheffield,4,60
Cameron Wurf,4,60
Dries Van Gestel,4,42
Mick Van Dijke,4,40
Guillaume Van Keirsbulck,4,30
Lewis Askey,4,20
Clement Davy,4,20
Fabian Lienhard,4,20
Bram Welten,4,20
Mathias Norsgaard,4,12
