Names,Cost,Points
Tadej Pogacar,20,440
Mathieu Van Der Poel,16,580
Tom Pidcock,14,210
Kasper Asgreen,14,48
Mads Pedersen,12,240
Michael Matthews,12,200
Greg Van Avermaet,12,100
Yves Lampaert,12,6
Dylan Van Baarle,10,470
Stefan Kueng,10,320
Christophe Laporte,10,220
Dylan Teuns,10,220
Alexander Kristoff,10,150
Tiesj Benoot,10,120
Alex Aranburu,10,66
Matej Mohoric,10,60
Jasper Philipsen,10,60
Valentin Madouas,8,360
Ivan Garcia Cortina,8,114
Danny Van Poppel,8,90
John Degenkolb,8,78
Mike Teunissen,8,72
Gianni Vermeersch,8,60
Niki Terpstra,8,12
Fred Wright,6,320
Luca Mozzato,6,96
Sebastien Grignard,6,60
Max Kanter,6,60
Stan Dewulf,6,60
Michael Gogl,6,60
Xandro Meurisse,6,60
Amaury Capiot,6,42
Jhonatan Narvaez,6,40
Ben Swift,6,40
Aime De Gendt,6,24
Kevin Geniets,6,20
Olivier Le Gac,6,20
Anders Skaarseth,6,18
Jan Tratnik,4,190
Ben Turner,4,100
Matis Louvel,4,84
Mathijs Paasschens,4,60
Silvan Dillier,4,60
Tom Bohli,4,60
Lyndsay De Wylder,4,60
Julien Vermote,4,60
Manuele Boaro,4,60
Taco Van Der Hoorn,4,60
Kim Heiduk,4,40
Magnus Sheffield,4,40
Jasha Suetterlin,4,30
Lewis Askey,4,20
Fabian Lienhard,4,20
Tobias Ludwigsson,4,20
