Names,Cost,Points
Alexander Kristoff,10,394
Jasper Philipsen,10,274
Tim Merlier,10,264
Sam Bennett,10,258
Fabio Jakobsen,10,80
Zdenek Stybar,10,10
Danny Van Poppel,8,364
Edward Theuns,8,304
Jordi Meeus,8,263
Nils Politt,8,99
Luka Mezgec,8,45
Florian Vermeersch,8,40
Cees Bol,8,12
Dan McLay,6,284
Arnaud De Lie,6,85
Luca Mozzato,6,65
Szymon Sajnok,6,60
Aime De Gendt,6,36
Baptiste Planckaert,6,36
Michael Morkov,6,30
Brent Van Moer,6,25
Marco Haller,6,24
Martin Laas,6,24
Alberto Dainese,6,12
Sam Welsford,4,344
Kenneth Vanbilsen,4,294
Ryan Mullen,4,278
Ruediger Selig,4,244
Emils Liepins,4,55
Kenneth Van Rooy,4,50
Tom Devriendt,4,36
Gerben Thijssen,4,36
Boy Van Poppel,4,36
Barnabas Peak,4,36
Soren Waerenskjold,4,36
Stijn Steels,4,35
Guillaume Van Keirsbulck,4,20
Julien Morice,4,15
Nico Denz,4,12
Niklas Maerkl,4,12
Daan Hoole,4,5
