Names,Cost,MSR,BDP,E3,GW,DDV,RVV,SP,AGR,BP,PR,FW,LBL,Total
Wout Van Aert,20,180,0,382,155,0,0,0,0,0,350,0,300,1367
Tadej Pogacar,20,240,0,0,0,110,440,0,0,0,0,95,0,885
Mathieu Van Der Poel,16,300,0,0,0,322,580,0,260,0,160,0,0,1622
Julian Alaphilippe,16,0,0,0,0,0,0,0,0,0,0,180,60,240
Tim Pidcock,14,0,0,0,0,272,210,0,200,304,0,0,0,986
Remco Evenepoel,14,0,0,0,0,0,0,0,0,258,0,0,520,778
Kasper Asgreen,14,0,0,146,36,0,48,0,220,0,0,0,0,450
Michael Matthews,12,260,0,0,0,0,200,0,200,140,0,0,0,800
Jasper Stuyven,12,0,120,116,288,0,0,0,0,0,200,0,0,724
Mads Pedersen,12,220,0,35,176,0,240,0,0,0,0,0,0,671
Alejandro Valverde,12,0,0,0,0,0,0,0,0,0,0,220,200,420
Yves Lampaert,12,0,0,0,0,20,6,0,0,0,210,0,0,236
Dylan Van Baarle,10,0,0,166,0,12,470,0,114,0,520,0,0,1282
Matej Mohoric,10,400,0,216,120,0,60,0,120,0,360,0,0,1276
Stefan Kueng,10,0,0,236,0,222,320,0,180,0,300,0,0,1258
Tiesj Benoot,10,0,0,216,24,292,120,0,300,0,0,100,0,1052
Christophe Laporte,10,54,0,364,328,0,220,0,20,0,40,0,0,1026
Dylan Teuns,10,0,0,0,0,0,220,0,150,166,0,250,220,1006
Benoit Cosnefroy,10,0,0,0,0,0,0,0,410,328,0,90,42,870
Alexander Kristoff,10,30,0,0,136,0,150,394,0,0,130,0,0,840
Tim Merlier,10,0,250,0,150,0,0,264,0,0,0,0,0,664
Warren Barguil,10,0,0,0,0,0,0,0,60,272,0,120,100,552
Anthony Turgis,10,350,0,126,73,0,0,0,0,0,0,0,0,549
Jasper Philipsen,10,20,0,0,50,46,60,274,0,0,0,0,0,450
Marc Hirschi,10,0,0,0,0,0,0,0,160,25,0,0,160,345
Tim Wellens,10,0,0,0,0,0,0,0,66,228,0,40,0,334
Sam Bennett,10,0,70,0,0,0,0,258,0,0,0,0,0,328
Mike Woods,10,0,0,0,0,0,0,0,0,0,0,150,150,300
Florian Senechal,10,110,0,36,0,0,0,0,0,0,120,0,0,266
Dylan Groenewegen,10,0,220,0,0,0,0,0,0,0,0,0,0,220
Valentin Madouas,8,0,0,188,0,100,360,0,110,0,20,0,0,778
Michal Kwiatkowski,8,90,0,0,0,0,0,0,520,36,60,0,0,706
Binian Girmay,8,130,50,196,322,0,0,0,0,0,0,0,0,698
Soren Kragh Andersen,8,200,0,0,196,70,0,0,12,0,0,0,36,514
Danny Van Poppel,8,0,45,0,0,0,90,364,0,0,0,0,0,499
Nils Politt,8,0,0,0,0,304,0,99,0,0,54,0,0,457
Mike Teunissen,8,0,0,191,24,39,72,0,20,0,106,0,0,452
Arnaud Demare,8,150,150,0,146,0,0,0,0,0,0,0,0,446
