Names,Cost,Points
Peter Sagan,16,1477
Sam Bennett,14,1800
Caleb Ewan,12,965
Wout Van Aert,12,1464
Sonny Colbrelli,10,168
Elia Viviani,10,439
Giacomo Nizzolo,10,349
Bryan Cocquard,8,942
Matteo Trentin,8,777
Andre Greipel,8,110
Luka Mezgec,8,835
Cees Bol,8,633
Jasper Stuyven,8,787
Alexander Kristoff,8,686
Clement Venturini,6,406
Simone Consonni,6,199
Christophe Laporte,6,217
John Degenkolb,6,0
Daryl Impey,6,67
Edvald Boasson Hagen,6,347
Niccolo Bonifazio,6,166
Anthony Turgis,6,167
Mads Pedersen,6,730
Edward Theuns,6,214
