Names,Cost,Points
Simon Yates,22,45
Miguel Angel Lopez,14,0
Rafal Majka,14,1039
Pello Bilbao,10,1481
Ilnur Zakarin,10,377
Fausto Masnada,10,946
Domenico Pozzovivo,10,871
Giulio Ciccone,10,24
Oscar Rodriguez,8,102
James Knox,8,629
Carl Fredrik Hagen,8,31
Jack Haig,8,16
Antwan Tolhoek,8,2
Sam Oomen,8,278
Gianluca Brambilla,8,139
Joe Dombrowski,8,46
Jefferson Cepeda,6,32
Hermann Pernsteiner,6,818
Dani Navarro,6,48
Matthew Holmes,6,321
Damien Howson,6,0
Louis Meintjes,6,74
Jai Hindley,6,2106
Valerio Conti,6,112
