Names,Cost,Points
Richard Carapaz,20,2877
Aleksandr Vlasov,16,1078
Sepp Kuss,16,1227
David Gaudu,14,1110
Ivan Sosa,14,110
Guillaume Martin,12,1601
Esteban Chaves,12,530
Michael Woods,10,865
George Bennett,10,934
Jan Hirt,8,2
Andrea Bagioli,8,355
Hugh Carthy,8,1910
Dan Martin,8,2211
Mikel Nieve,8,489
Davide Formolo,8,156
Mathias Frank,6,0
Nans Peters,6,208
Omar Fraile,6,268
Santiago Buitrago,6,0
Jetse Bol,6,46
Angel Madrazo,6,81
Mattia Cattaneo,6,502
Carlos Verona,6,207
Kenny Elissonde,6,178
Sergio Henao,6,351
