Names,Cost,Points
Alex Aranburu,8,473
Luis Leon Sanchez,8,76
Tim Wellens,8,838
Rui Costa,8,467
Clement Champoussin,6,144
Dorian Godon,6,320
Quentin Jauregui,6,84
Dmitriy Gruzdev,6,68
Merhawi Kudus,6,68
Grega Bole,6,0
Matej Mohoric,6,0
Felix Grossschartner,6,1282
Jay McCarthy,6,0
Ruediger Selig,6,24
Alex Molenaar,6,57
Jonathan Lastra,6,45
Gonzalo Serrano,6,127
Simon Geshcke,6,0
Fernando Barcelo,6,4
Jose Herrada,6,29
Luis Angel Mate,6,114
Pierre-Luc Perichon,6,179
Remi Cavagna,6,208
Michael Morkov,6,106
Jannik Steimle,6,221
Zdenek Stybar,6,242
Tejay Van Garderen,6,52
Anthony Roux,6,93
Andrey Amador,6,90
Michal Golas,6,34
Brandon Rivera,6,10
Dylan Van Baarle,6,325
Matteo Badilatti,6,64
James Piccoli,6,44
Mihkel Raim,6,174
Nick Schultz,6,97
Robert Stannard,6,427
Nelson Oliveira,6,416
Jose Joaquin Rojas,6,277
Carlos Barbero,6,4
Stefan De Bod,6,4
Benjamin Dyball,6,24
Enrico Gasparotto,6,24
Michael Valgren,6,243
Robert Gesink,6,333
Jonas Vingegaard,6,298
Robert Power,6,230
Michael Storer,6,413
Jasha Suetterlin,6,351
Jonathan Hivert,6,45
Pim Ligthart,6,30
Lorrenzo Manzin,6,190
Julien Simon,6,230
Niki Terpstra,6,20
Niklas Eg,6,48
Alexander Kamp,6,0
Emils Liepins,6,75
Juan Pedro Lopez,6,0
Rui Oliveira,6,80
Alexandr Riabushenko,6,84
Axel Domont,4,0
Alexandre Geniez,4,0
Harry Tanfield,4,55
Scott Davies,4,0
Kevin Inkelaar,4,0
Stephen Williams,4,0
Fred Wright,4,205
Ide Schelling,4,104
Andreas Schillinger,4,44
Michael Schwarzmann,4,24
Oscar Cabedo,4,20
Jesus Ezquerra,4,90
Juan Felipe Osorio,4,62
Willie Smit,4,50
Ricardo Vilela,4,0
Julen Amezqueta,4,20
Aritz Bagues,4,55
Jefferson Cepeda,4,20
Jhojan Garcia,4,20
Hector Saez,4,15
Will Barta,4,247
Michal Paluta,4,2
Fran Ventoso,4,2
Lukasz Wisniowski,4,54
Georg Zimmermann,4,101
Natnael Berhane,4,4
Victor Lafay,4,69
Emmanuel Morin,4,234
Ian Garrison,4,18
Mitch Docker,4,52
Logan Owen,4,52
Julius Van Den Berg,4,72
Bruno Armirail,4,218
Mickael Delage,4,16
Matthieu Ladagnous,4,23
Olivier Le Gac,4,16
Romain Seigle,4,0
Cameron Wurf,4,110
Omer Goldstein,4,44
Reto Hollenstein,4,44
Alexis Renard,4,154
Rory Sutherland,4,44
Stan Dewulf,4,155
Kobe Goossens,4,95
Tomasz Marczynski,4,40
Remy Mertz,4,20
Gerben Thijssen,4,341
Brent Van Moer,4,55
Alex Edmonson,4,44
Tsgabu Grmay,4,12
Callum Scotson,4,32
Jorge Arcas,4,207
Imanol Erviti,4,202
Nic Dlamini,4,0
Gino Maeder,4,353
Lennard Hofstede,4,268
Paul Martens,4,268
Thymen Arensman,4,406
Mark Donovan,4,386
Max Kanter,4,449
Martin Salmon,4,6
Ilan Van Wilder,4,0
Valentin Ferron,4,9
Paul Ourselin,4,0
Romain Sicard,4,16
Koen De Kort,4,16
Michel Ries,4,5
Ivo Oliveira,4,141
