Names,Cost,Points
Wout Van Aert,16,1824
Peter Sagan,14,344
Matthieu Van Der Poel,12,928
Caleb Ewan,12,27
Michael Matthews,10,1230
Sonny Colbrelli,10,1069
Tim Merlier,10,379
Mads Pedersen,10,178
Arnaud Demare,10,148
Mark Cavendish,8,1510
Jasper Philipsen,8,1261
Nacer Bouhanni,8,727
Christophe Laporte,8,424
Cees Bol,8,370
Alex Aranburu,8,322
Davide Ballerini,8,280
Andre Greipel,6,497
Jasper Stuyven,6,346
Edward Theuns,6,338
Danny Van Poppel,6,326
Luka Mezgec,6,312
Anthony Turgis,6,284
Max Walscheid,6,273
Ivan Garcia Cortina,6,256
Kristian Sbaragli,6,102
Edvald Boasson Hagen,6,60
Bryan Coquard,6,43
Dan McLay,6,8
