Names,Cost,Points
Alexey Lutsenko,8,432
Luis Leon Sanchez,8,62
Greg Van Avermaet,8,584
Thomas De Gendt,8,57
Lilian Calmejane,8,0
Benoit Cosnefroy,6,352
Oliver Naesen,6,359
Nans Peters,6,412
Alexis Vuillermoz,6,34
Omar Fraile,6,62
Gorka Izagirre,6,121
Jens Debusschere,6,10
Cyril Gautier,6,48
Marco Haller,6,45
Matej Mohoric,6,36
Jonas Koch,6,37
Nicolas Edet,6,188
Kasper Asgreen,6,127
Remi Cavagna,6,255
Dries Devenyns,6,99
Michael Morkov,6,205
Alberto Bettiol,6,259
Jens Keukeleire,6,116
Neilson Powless,6,499
Stefan Kueng,6,38
Valentin Madouas,6,247
Rudy Molard,6,2
Andrey Amador,6,92
Jonathan Castroviejo,6,50
Luke Rowe,6,157
Dylan Van Baarle,6,58
Ben Hermans,6,134
Hugo Hofstetter,6,530
Krists Neilands,6,26
Nils Politt,6,96
Tom Van Asbroeck,6,44
Jasper De Buyst,6,23
Philippe Gilbert,6,0
Dario Cataldo,6,142
Nelson Oliveira,6,142
Jose Joaquin Rojas,6,174
Ryan Gibbons,6,67
Roman Kreuziger,6,6
Michael Valgren,6,41
Max Walscheid,6,103
Winner Anacona,6,35
Diego Rosa,6,0
Robert Gesink,6,246
Amund Grondahl Jansen,6,224
Tony Martin,6,226
Nikias Arndt,6,154
Marc Hirschi,6,1010
Soren Kragh Andersen,6,840
Nicolas Roche,6,247
Kenny Elissonde,6,208
Toms Skujins,6,396
Jan Polanc,6,82
Mickael Cherel,4,58
Hugo Houle,4,295
Harold Tejada,4,53
Cyril Barthe,4,22
Maxime Chevalier,4,6
Quentin Pacher,4,436
Kevin Reza,4,34
Rafael Valls,4,0
Daniel Oss,4,105
Lukas Poestelberger,4,41
Simon Geschke,4,335
Michael Schaer,4,52
Anthony Perez,4,60
Pierre-Luc Perichon,4,34
Tim Declercq,4,58
William Bonnet,4,0
Matthieu Ladagnous,4,42
Guy Niv,4,0
Steff Cras,4,8
Frederik Frison,4,20
Roger Kluge,4,22
Jack Bauer,4,134
Sam Bewley,4,46
Christopher Juul-Jensen,4,75
Imanol Erviti,4,224
Carlos Verona,4,510
Michael Gogl,4,158
Kevin Ledanois,4,32
Dayer Quintana,4,0
Clement Russo,4,45
Connor Swift,4,23
Joris Nieuwenhuis,4,44
Casper Pedersen,4,232
Matthieu Burgaudeau,4,61
Jerome Cousin,4,87
Fabien Grellier,4,69
Romain Sicard,4,40
Geoffrey Soupe,4,3
Niklas Eg,4,72
Vegard Stake Laengen,4,82
Marco Marcato,4,106
