Names,Cost,Points
Andrea Vendrame,8,780
Simon Clarke,8,454
Lawson Craddock,8,157
Ruben Guerreiro,8,841
Jhonatan Narvaez,8,461
Thomas De Gendt,8,685
Lucas Hamilton,8,302
Giovanni Visconti,8,426
Francois Bidard,6,90
Geoffrey Bouchard,6,184
Tony Gallopin,6,2
Aurelien Paret-Peintre,6,136
Larry Warbasse,6,326
Mattia Bais,6,117
Jhonatan Restrepo,6,125
Manuele Boaro,6,170
Rodrigo Contreras,6,22
Fabio Felline,6,266
Jonas Gregaard,6,2
Enrico Battaglin,6,479
Mark Padun,6,322
Jan Tratnik,6,590
Giovanni Carboni,6,90
Giovanni Lonardi,6,105
Maciej Bodnar,6,69
Matteo Fabbro,6,198
Josef Cerny,6,762
Victor De La Parte,6,42
Kamil Malecki,6,198
Joey Rosskopf,6,414
Attila Valter,6,110
Nicolas Edet,6,60
Nathan Haas,6,70
Jesper Hansen,6,100
Mikkel Frolich Honore,6,722
Iljo Keisse,6,403
Pieter Serry,6,338
Jonathan Caicedo,6,437
Tanel Kangert,6,209
Lachlan Morton,6,81
Kilian Frankiny,6,368
Miles Scotson,6,239
Ramon Sinkeldam,6,24
Jonathan Castroviejo,6,716
Filippo Ganna,6,1597
Salvatore Puccio,6,515
Matthias Braendle,6,236
Alex Dowsett,6,385
Rick Zabel,6,171
Jonathan Dibben,6,6
Edoardo Affini,6,0
Michael Hepburn,6,37
Dario Cataldo,6,65
Sergio Samitier,6,485
Eduardo Sepulveda,6,40
Davide Villella,6,175
Victor Campenaerts,6,517
Amanuel Ghebreigzabhier,6,138
Ben O'Connor,6,753
Danilo Wyss,6,16
Koen Bouwman,6,2
Chris Harper,6,7
Tony Martin,6,2
Jos Van Emden,6,51
Chad Haga,6,310
Chris Hamilton,6,182
Martijn Tusveld,6,262
Nicola Conci,6,26
Jacopo Mosca,6,307
Pieter Weening,6,4
Mikkel Bjerg,6,589
Brandon McNulty,6,1018
Juan Sebastian Molano,6,172
Lorenzo Rota,6,109
Luca Wackermann,6,129
Ben Gastauer,4,20
Jaakko Hanninen,4,0
Alessandro Bisolti,4,24
Luca Chirico,4,20
Simon Pellaud,4,442
Simone Ravanelli,4,160
Josip Rumac,4,35
Yukiya Arashiro,4,76
Eros Capecchi,4,80
Domen Novak,4,118
Luca Covili,4,0
Filippo Fiorelli,4,215
Fabio Mazzucco,4,20
Francesco Romano,4,70
Alessandro Tonelli,4,150
Filippo Zana,4,50
Cesare Benedetti,4,86
Patrick Gamper,4,16
Pawel Poljanski,4,64
Kamil Gradek,4,143
Pavel Kochetkov,4,0
Mathias Le Turnier,4,0
Marco Mathis,4,50
Stephane Rossetto,4,46
Sean Bennett,4,51
James Whelan,4,66
Jacopo Guarnieri,4,83
Simon Guglielmi,4,52
Ignatas Konovalovas,4,32
Benjamin Thomas,4,8
Alexander Cataford,4,8
Guy Sagiv,4,8
Sander Armee,4,164
Adam Hansen,4,6
Stefano Oldani,4,224
Harm Vanhoucke,4,568
Brent Bookwalter,4,0
Cameron Meyer,4,0
Hector Carretero,4,115
Antonio Pedrero,4,288
Einer Rubio,4,170
Albert Torres,4,135
Matteo Sobrero,4,247
Dylan Sutherland,4,16
Tobias Foss,4,175
Christoph Pfingsten,4,6
Nico Denz,4,340
Julien Bernard,4,46
Antonio Nibali,4,6
Simone Belivacqua,4,4
Marco Frapporti,4,154
Matteo Spreafico,4,4
Etienne Van Empel,4,139
Edoardo Zardini,4,65
