Names,Cost,Points
Tadej Pogacar,24,2906
Primoz Roglic,22,537
Geraint Thomas,18,178
Richie Porte,14,116
Rigoberto Uran,12,935
Miguel Angel Lopez,12,8
Wilco Kelderman,10,1201
Enric Mas,10,977
Alejandro Valverde,10,335
Steven Kriujswijk,10,104
Jakob Fuglsang,10,46
Jonas Vingegaard,8,2228
Ben O'Connor,8,1187
Alexey Lutsenko,8,932
Pello Bilbao,8,845
Ion Izagirre,8,375
Brandon McNulty,8,205
Vincenzo Nibali,8,175
Chris Froome,8,2
Wout Poels,6,1064
Bauke Mollema,6,797
Dylan Teuns,6,664
Rui Costa,6,150
Michal Kwiatkowski,6,46
Tiesj Benoot,6,0
