Names,Cost,Points
Richard Carapaz,16,1524
Julian Alaphilippe,16,1073
Simon Yates,12,176
Tao Geoghegan Hart,12,46
David Gaudu,10,867
Guillaume Martin,10,791
Mike Woods,10,515
Sepp Kuss,10,503
Nairo Quintana,10,496
Jack Haig,10,245
Emmanuel Buchmann,10,50
Lucas Hamilton,10,42
Sergio Higuita,8,737
Patrick Konrad,8,599
Esteban Chaves,8,419
Ruben Guerreiro,8,401
Dan Martin,8,255
Pierre Latour,8,227
Rafal Majka,8,178
Davide Formolo,8,134
Warren Barguil,8,8
Marc Soler,8,0
Aurelien Paret-Peintre,6,426
Kenny Elissonde,6,270
Sergio Henao,6,183
Benoit Cosnefroy,6,62
Pierre Rolland,6,60
Valentin Madouas,6,47
Mark Donovan,6,32
Nans Peters,6,16
Jesus Herrada,6,8
