Names,Cost,Points
Richard Carapaz,18,63
Mikel Landa,16,203
Hugh Carthy,14,20
Miguel Angel Lopez,12,1385
Sepp Kuss,10,1290
Romain Bardet,10,978
Giulio Ciccone,10,479
Mark Padun,10,186
Jack Haig,8,1720
Damiano Caruso,8,730
Guillaume Martin,8,575
Rafal Majka,8,523
Fabio Aru,8,214
Wout Poels,8,203
James Knox,8,52
Gino Maeder,6,1017
Kenny Elissonde,6,402
Louis Meintjes,6,394
Jesus Herrada,6,336
Sam Oomen,6,288
Jan Hirt,6,205
Dani Navarro,6,175
Nick Schultz,6,146
Gianluca Brambilla,6,146
Sergio Henao,6,60
Harm Vanhoucke,6,48
Mikel Nieve,6,42
Jonathan Caicedo,6,18
Lucas Hamilton,6,6
