Names,Cost,Points
Tom Pidcock,10,280
Max Schachmann,10,8
Andrea Bagioli,8,706
Alex Aranburu,8,435
Magnus Cort,6,1254
Michael Storer,6,855
Clement Champoussin,6,732
Rui Oliveira,6,524
Lilian Calmejane,6,462
Riccardo Minali,6,460
Jan Polanc,6,455
Rein Taaramae,6,453
Andreas Kron,6,402
Jan Tratnik,6,380
Ryan Gibbons,6,372
Chris Hamilton,6,360
Dylan Van Baarle,6,358
Joe Dombrowski,6,346
Geoffrey Bouchard,6,330
Josef Cerny,6,330
Florian Senechal,6,322
Carlos Verona,6,307
Stan Dewulf,6,300
Quinn Simmons,6,250
Itamar Einhorn,6,245
Thymen Arensman,6,244
Chad Haga,6,231
Koen Bouwman,6,206
Robert Gesink,6,200
Jhonathan Narvaez,6,172
Simone Petilli,6,155
Reinardt Janse Van Rensburg,6,155
Nelson Oliveira,6,154
Mikel Bizkarra,6,147
Jetse Bol,6,146
Matthew Holmes,6,140
Alexander Krieger,6,130
Nico Denz,6,122
Bert Van Lerberghe,6,120
Florian Vermeersch,6,118
Salvatore Puccio,6,110
Kevin Geniets,6,104
Juan Jose Lobato,6,101
Robert Stannard,6,80
Angel Madrazo,6,72
Edward Planckaert,6,60
Sep Vanmarcke,6,58
Zdenek Stybar,6,52
Rudy Molard,6,42
Luis Angel Mate,6,41
Diego Rubio,6,40
Jose Herrada,6,32
Damien Howson,6,22
Jefferson Alveiro Cepeda,6,20
Sander Armee,6,20
Omar Fraile,6,16
Simon Carr,6,13
Oscar Rodriguez,6,8
Luis Leon Sanchez,6,8
Odd Christian Eiking,4,733
Antonio Soto,4,458
Juan Pedro Lopez,4,341
Jay Vine,4,318
Lawson Craddock,4,304
Anthony Roux,4,224
Nathan Van Hooydonck,4,211
Steff Cras,4,206
Lennard Hofstede,4,200
Martijn Tusveld,4,199
Remy Rochas,4,197
Tom Scully,4,191
Julen Amezqueta,4,172
Floris De Tier,4,150
Andrey Zeits,4,147
Jose Joaquin Rojas,4,146
Oscar Cabedo,4,123
Nicolas Prodhomme,4,120
Gotzon Martin,4,119
Imanol Erviti,4,114
Yukiya Arashiro,4,112
Damien Touze,4,105
Joan Bou,4,92
Aritz Bagues,4,90
Wesley Kreder,4,90
Kevin Van Melsen,4,90
Carlos Canal,4,89
Xabier Mikel Azparren,4,88
Olivier Le Gac,4,85
Sylvain Moniquet,4,79
Pelayo Sanchez,4,78
Johan Jacobs,4,78
Tobias Bayer,4,76
Jonathan Lastra,4,72
Diego Camargo,4,66
Jens Keukeleire,4,66
Mickael Cherel,4,64
Mikel Iturria,4,64
Dylan Sunderland,4,55
Ander Okamika,4,52
Fernando Barcelo,4,52
Alex Kirsch,4,45
Oier Lazkano,4,40
Antonio Nibali,4,40
Eddy Fine,4,32
Maxim Van Gils,4,32
Bert-Jan Lindeman,4,28
Dimitri Claeys,4,26
Scott Thwaites,4,20
Alvaro Cuadros,4,20
Sergio Roman Martin,4,20
Sebastian Berwick,4,20
Kiel Reijnen,4,18
Cesare Benedetti,4,12
Patrick Gamper,4,12
Anton Palzer,4,12
Ben Zwiehoff,4,12
Yuriy Natarov,4,8
Jacopo Guarnieri,4,4
Tobias Ludwigsson,4,4
Ramon Sinkeldam,4,4
Alexander Cataford,4,0
Guy Niv,4,0
James Piccoli,4,0
Mads Wurtz Schmidt,4,0
Frederik Frison,4,0
Connor Brown,4,0
