Names,Cost,Points
Wout Van Aert,18,2917
Jasper Philipsen,14,1384
Fabio Jakobsen,14,684
Peter Sagan,12,682
Caleb Ewan,12,265
Michael Matthews,10,779
Dylan Groenewegen,10,717
Mads Pedersen,8,987
Alexander Kristoff,8,498
Alberto Dainese,8,451
Christophe Laporte,6,968
Danny Van Poppel,6,538
Luca Mozzato,6,440
Hugo Hofstetter,6,423
Edvald Boasson Hagen,6,288
Andrea Pasqualon,6,227
Amaury Capiot,6,155
Max Walscheid,6,80
Marco Haller,6,67
Reinardt Janse Van Rensburg,6,11
Anthony Turgis,6,4
