Names,Cost,Points
Simon Yates,22,666
Mikel Landa,18,1432
Miguel Angel Lopez,16,0
Romain Bardet,14,587
Guilio Ciccone,12,898
Hugh Carthy,12,887
Emanuel Buchmann,12,883
Jai Hindley,10,2128
Vincenzo Nibali,10,981
Guillaume Martin,10,745
Wout Poels,10,359
Lennard Kaemna,8,1274
Bauke Mollema,8,958
Domenico Pozzovivo,8,807
Lucas Hamilton,8,453
Davide Formolo,8,428
Ben Tulett,8,426
Lorenzo Fortunato,8,348
Ivan Sosa,8,68
James Knox,8,61
Koen Bouwman,6,1256
Jan Hirt,6,1113
Santiago Buitrago,6,1011
Rein Taaramae,6,531
Antonio Pedrero,6,397
Sam Oomen,6,291
Harm Vanhoucke,6,187
Joe Dombrowski,6,123
Alessandro De Marchi,6,37
Jefferson Alexander Cepeda,6,0
