Names,Cost,Points
Primoz Roglic,22,518
Egan Bernal,20,207
Julian Alaphilippe,18,256
Thibaut Pinot,18,765
Tadej Pogacar,18,564
Mikel Landa,16,230
Adam Yates,16,103
Alejandro Valverde,16,246
Nairo Quintana,16,177
Richie Porte,16,174
Romain Bardet,14,266
Miguel Angel Lopez,14,327
Emmanuel Buchmann,14,253
Guillaume Martin,14,527
Sergio Higuita,14,88
Chris Froome,14,31
Pavel Sivakov,14,355
Geraint Thomas,14,31
Tom Dumoulin,14,381
Steven Kruijswijk,14,78
Pierre Latour,12,40
Alexey Lutsenko,12,90
Dani Martinez,12,674
Rigoberto Uran,12,54
Dan Martin,12,0
Marc Soler,12,10
Gorka Izagirre,10,0
Pello Bilbao,10,0
Damiano Caruso,10,5
Dylan Teuns,10,10
Felix Grosschartner,10,12
Gregor Muehlberger,10,12
Bob Jungels,10,18
James Knox,10,2
Tejay Van Garderen,10,14
Jack Haig,10,126
Enric Mas,10,71
Domenico Pozzovivo,10,7
Michal Kwiatkowski,10,88
Tiesj Benoot,10,35
Davide Formolo,10,263
Benoit Cosnefroy,8,67
Luis Leon Sanchez,8,10
Pierre Rolland,8,108
Peter Sagan,8,12
Jan Hirt,8,0
Fausto Masnada,8,153
Hugh Carthy,8,14
Stefan Kueng,8,52
Valentin Madouas,8,97
Sebastien Reichenbach,8,195
Thomas De Gendt,8,14
Carl Fredrik Hagen,8,2
Damien Howson,8,8
Daryl Impey,8,190
Jose Joaquin Rojas,8,10
Louis Meintjes,8,0
Warren Barguil,8,184
Diego Rosa,8,0
Robert Gesink,8,109
Sepp Kuss,8,441
Marc Hirschi,8,106
Nicolas Roche,8,0
Rein Taaramae,8,0
Niklas Eg,8,0
Kenny Elissonde,8,172
David De La Cruz,8,282
Jan Polanc,8,17
Tony Gallopin,6,4
Aurelien Paret-Peintre,6,4
Nans Peters,6,4
Omar Fraile,6,0
Merhawi Kudus,6,0
Nikita Stalnov,6,0
Cyril Gautier,6,0
Tom Jelte Slagter,6,16
Sonny Colbrelli,6,0
Matej Mohoric,6,15
Rafael Valls,6,0
Lennard Kaemna,6,401
Victor De La Parte,6,57
Jan Bakelants,6,0
Xandro Meurisse,6,0
Nicolas Edet,6,26
Luis Angel Mate,6,4
Anthony Perez,6,4
Pierre-Luc Perichon,6,4
Kasper Asgreen,6,24
Remi Cavagna,6,2
Tanel Kangert,6,14
Jens Keukeleire,6,14
Andre Greipel,6,0
Hugo Hofstetter,6,0
Krists Neilands,6,0
Nils Politt,6,0
Nick Schultz,6,8
Nelson Oliveira,6,0
Antonio Pedrero,6,10
Edvald Boasson Hagen,6,0
Roman Kreuziger,6,0
Ben O'Connor,6,10
Michael Valgren,6,0
Winner Anacona,6,0
Dylan Van Baarle,6,43
Tony Martin,6,76
Wout Van Aert,6,374
Nikias Arndt,6,0
Soren Kragh Andersen,6,24
Jasha Suetterlin,6,25
Niccolo Bonifazio,6,5
Toms Skujins,6,0
Pieter Weening,6,0
Alexander Kristoff,6,12
Mickael Cherel,4,4
Maxime Chevalier,4,12
Arnaud Courteille,4,0
Quentin Pacher,4,0
Sebastian Schoenberger,4,0
Daniel Oss,4,22
Andreas Schillinger,4,12
Will Barta,4,0
Pavel Kochetkov,4,0
Michael Schaer,4,74
Lukasz Wisniowski,4,0
Jeremy Bellicaud,4,0
Thomas Degand,4,0
Fabien Doubey,4,10
Alexander Evans,4,0
Quinten Hermans,4,2
Victor Lafay,4,4
Stephane Rossetto,4,4
Tim Declerq,4,2
Mauri Vansevenant,4,0
Bruno Armirail,4,72
Anthoine Duchesne,4,24
Matthieu Ladagnous,4,52
Guy Niv,4,10
Mads Wuertz Schmidt,4,0
Sander Armee,4,0
Remy Mertz,4,0
Brent Van Moer,4,0
Harm Vanhoucke,4,0
Jelle Wallays,4,0
Brent Bookwalter,4,8
Chris Juul-Jensen,4,18
Carlos Verona,4,10
Michael Gogl,4,0
Maxime Bouet,4,0
Dayer Quintana,4,0
Clement Russo,4,0
Jonathan Castroviejo,4,31
Mark Donovan,4,0
Mathieu Burgaudeau,4,0
Jerome Cousin,4,10
Fabien Grellier,4,0
Romain Sicard,4,0
Geoffrey Soupe,4,13
Juan Pedro Lopez,4,0
Michel Ries,4,0
Sven Erik Bystrom,4,10
Vegard Stake Laengen,4,17
