Names,Cost,Points
Remco Evenepoel,22,594
Jakob Fuglsang,18,520
Pascal Ackermann,18,346
Max Schachmann,18,207
Dylan Groenewegen,18,0
Rafal Majka,16,385
Tim Wellens,16,183
Simon Yates,16,373
Richard Carapaz,16,187
Ion Izagirre,14,75
Patrick Konrad,14,107
Fabio Jakobsen,14,187
John Degenkolb,14,20
Esteban Chaves,14,195
Daryl Impey,14,54
Wilco Kelderman,14,335
Jasper Stuyven,14,82
Rui Costa,14,180
Jasper Philipsen,14,347
Diego Ulissi,14,511
Wout Poels,12,25
Ilnur Zakarin,12,15
James Knox,12,40
Marc Sarreau,12,148
Luka Mezgec,12,395
Eddie Dunbar,12,76
Edward Theuns,12,52
Phil Bauhaus,10,84
Rudy Molard,10,207
Thomas De Gendt,10,2
Eduard Prades,10,22
Enrico Gasparotto,10,0
Rohan Dennis,10,12
Jai Hindley,10,129
Mads Pedersen,10,177
Mark Cavendish,8,53
Heinrich Haussler,8,6
Mark Padun,8,6
Ruediger Selig,8,69
Patrick Bevin,8,15
Attila Valter,8,41
Nathan Haas,8,104
Davide Ballerini,8,324
Mattia Cattaneo,8,40
Florian Senechal,8,43
Moreno Hofland,8,56
Nikolay Chersakov,8,0
Rudy Barbier,8,165
Matthias Braendle,8,0
Sam Bewley,8,54
Mikel Nieve,8,238
Juergen Roelandts,8,37
Ryan Gibbons,8,310
Ben King,8,0
Maciej Paterski,8,80
Michal Golas,8,12
Chris Harper,8,61
Jonas Vingegaard,8,193
Chris Hamilton,8,92
Emils Liepins,8,12
Geoffrey Bouchard,6,34
Dorian Godon,6,2
Alexis Gougeard,6,5
Quentin Jauregui,6,24
Laurens De Vreese,6,24
Yevgeniy Gidich,6,22
Hugo Houle,6,77
Yuriy Natarov,6,22
Maciej Bodnar,6,50
Michael Schwartzmann,6,50
Simon Geschke,6,50
Kamil Malecki,6,382
Szymon Sajnok,6,247
Piet Allegaert,6,55
Dimitri Claeys,6,0
Jesper Hansen,6,68
Jose Herrada,6,0
Damien Touze,6,73
Julien Vermote,6,0
Dries Devenyns,6,40
Sebastian Langeveld,6,0
Neilson Powless,6,40
Jonas Rutsch,6,5
Sergei Chernetski,6,10
Ivan Rovny,6,6
Fabian Lienhard,6,33
Anthony Roux,6,8
Benjamin Thomas,6,8
Jenthe Biermans,6,0
James Piccoli,6,0
Norman Vahtra,6,0
Jonathan Dibben,6,0
Barnabas Peak,6,54
Lluis Mas,6,0
Samuele Battistella,6,15
Stefan De Bod,6,0
Pawel Bernas,6,0
Piotr Brozyna,6,0
Patrick Stosz,6,186
Owain Doull,6,12
Luke Rowe,6,27
Ian Stannard,6,12
Taco Van Der Hoorn,6,91
Jos Van Emden,6,0
Charles Planet,6,0
Alberto Dainese,6,229
Brandon McNulty,6,20
Juan Sebastian Molano,6,80
Rui Oliveira,6,20
Axel Domont,4,0
Ben Gastauer,4,0
Harry Tanfield,4,0
Jonas Gregaard,4,22
Marcel Sieberg,4,6
Fred Wright,4,6
Kamil Gradek,4,157
Tom Scully,4,0
Julius Van Den Berg,4,58
James Whelan,4,108
Denis Nekrasov,4,0
Artem Nych,4,0
Petr Rikunov,4,0
Cristian Scaroni,4,0
Mickael Delage,4,8
Olivier Le Gac,4,8
Alexander Cataford,4,0
Alexis Renard,4,0
Steff Cras,4,2
Roger Kluge,4,62
Tomasz Marczynski,4,0
Jorge Arcas,4,0
Imanol Erviti,4,0
Sebastian Mora,4,0
Albert Torres,4,100
Gino Maeder,4,2
Dylan Sunderland,4,0
Alan Banaszek,4,5
Adrian Banaszek,4,0
Przemyslaw Kasperkiewicz,4,31
Tobias Foss,4,80
Christoph Pfingsten,4,0
Sam Brand,4,10
Brian Kamstra,4,0
Peter Kusztor,4,0
David Lozano,4,3
Andrea Peron,4,0
Umberto Poli,4,0
Nils Eekhoff,4,21
Casper Pedersen,4,26
Florian Stork,4,21
Alex Kirsch,4,12
Ryan Mullen,4,14
Quinn Simmons,4,92
Ivo Oliveira,4,20
