Names,Cost,Points
Wout Van Aert,24,1260
Julian Alaphilippe,22,903
Michal Kwiatkowski,18,166
Ethan Hayter,16,1290
Mike Woods,16,562
Yves Lampaert,16,303
Mark Cavendish,14,302
Giacomo Nizzolo,14,242
Davide Ballerini,14,207
Richie Porte,14,148
George Bennett,14,145
Mikkel Honore,12,619
Rohan Dennis,12,420
Dan Martin,12,364
Marc Soler,12,18
Gonzalo Serrano,10,493
Matteo Jorgenson,10,287
Max Kanter,10,283
James Shaw,10,268
Xandro Meurisse,10,235
Simon Clarke,10,135
Kristian Sbaragli,8,472
Carlos Rodriguez,8,353
Nico Roche,8,207
Pascal Eenkhoorn,8,194
Owain Doull,8,146
Connor Swift,8,145
Andre Greipel,8,132
Dan McLay,8,131
Gabriel Cullaigh,8,53
Joey Rosskopf,8,30
Carlos Barbero,8,29
Ben Tulett,8,25
Thomas Gloag,8,24
Dario Cataldo,8,18
Alex Dowsett,8,16
Rory Townsend,6,406
Colin Joyce,6,238
Mark Donovan,6,237
Alex Peters,6,168
Nils Eekhoff,6,164
Tim Declercq,6,154
Gavin Mannion,6,109
Luke Lamperti,6,90
Lukasz Owsian,6,81
Gijs Leemreize,6,75
Jimmy Janssens,6,55
Max Steadman,6,55
Ethan Vernon,6,50
Silvan Dillier,6,48
Tony Martin,6,45
Romain Combaud,6,43
Matthew Bostock,6,40
Nic Dlamini,6,26
Christopher Blevins,6,26
Ben Healy,6,20
David Gonzalez,6,17
Mason Hollyman,6,16
Kyle Murphy,6,16
Chris Harper,6,16
Juri Hollmann,6,14
Tom Mazzone,6,10
Mauro Schmid,6,9
Sean Bennett,6,4
Charles Page,6,2
Steven Lampier,6,0
Bram Welten,6,0
Rudy Porter,6,0
Robin Carpenter,4,386
Jacob Scott,4,300
Matthew Gibson,4,205
Maxime Bouet,4,153
Nicolas Sessler,4,128
Michal Paluta,4,116
Ollie Peckover,4,69
Sergio Roman Martin,4,65
Jokin Murguialday,4,58
Robert Donaldson,4,57
Rhys Britton,4,45
Tim Naberman,4,43
Nickolas Zukowsky,4,37
Joel Nicolau,4,36
Leon Mazzone,4,34
Gruffudd Lewis,4,28
Max Walker,4,28
Alexandar Richardson,4,25
Thomas Mein,4,25
Oliver Stockwell,4,21
Dan Bigham,4,20
Reto Hollenstein,4,16
William Bjergfelt,4,16
Simon Wilson,4,4
Ross Lamb,4,2
Christopher Latham,4,2
Andrew Turner,4,2
Jon Barrenetxea,4,0
Josu Etxeberria,4,0
Ryan Christensen,4,0
Hans Becking,4,0
Dan Erik Hansen,4,0
James Mitri,4,0
Tim Edvard Pettersen,4,0
Max Rushby,4,0
William Tidball,4,0
Ross Holland,4,0
Oliver Maxwell,4,0
Bradley Symonds,4,0
