Names,Cost,Points
Joao Almeida,20,462
Richard Carapaz,20,175
Adam Yates,18,1028
Wilco Kelderman,18,336
Geraint Thomas,16,681
Simon Yates,16,260
Nairo Quintana,16,194
Enric Mas,16,103
Richie Porte,14,647
Alejandro Valverde,14,632
Hugh Carthy,14,284
Brandon McNulty,14,271
Steven Kruijswijk,14,186
Chris Froome,14,8
Esteban Chaves,12,758
Michael Woods,12,405
Lennard Kaemna,12,364
Rohan Dennis,12,338
Sepp Kuss,12,319
Dan Martin,12,113
Rigoberto Uran,12,65
Marc Hirschi,12,62
Jai Hindley,12,0
Lucas Hamilton,10,243
Peter Sagan,10,216
Ruben Guerreiro,10,183
Marc Soler,10,30
David De La Cruz,10,9
George Bennett,10,2
Ilnur Zakarin,10,0
Rui Costa,10,0
Matej Mohoric,8,310
Dion Smith,8,261
Luis Leon Sanchez,8,219
Harm Vanhoucke,8,214
Remi Cavagna,8,175
Daryl Impey,8,154
Fausto Masnada,8,136
Sebastien Reichenbach,8,121
Luke Rowe,8,96
Michael Valgren,8,90
James Knox,8,68
Max Kanter,8,60
Josef Cerny,8,52
Carlos Verona,8,51
Giulio Ciccone,8,51
Tanel Kangert,8,50
Antwan Tolhoek,8,24
Robert Gesink,8,19
Jordi Meeus,8,16
Joe Dombrowski,8,16
Bob Jungels,8,10
Nicolas Roche,8,5
Hermann Pernsteiner,8,4
Wout Poels,8,4
Gianluca Brambilla,8,0
Kenny Elissonde,8,0
Thomas De Gendt,6,300
Andreas Kron,6,211
Mikel Bizkarra,6,180
Attila Valter,6,165
Jonathan Castroviejo,6,140
Reinardt Janse Van Rensburg,6,115
Ide Schelling,6,105
Juan Sebastian Molano,6,100
Nicolas Edet,6,95
Clement Venturini,6,80
Santiago Buitrado,6,68
Brent Bookwalter,6,50
Callum Scotson,6,50
Antonio Pedrero,6,45
Oscar Rodriguez,6,44
Clement Champoussin,6,41
Sergio Samitier,6,39
Harold Tejada,6,35
Thymen Arensman,6,32
Dario Cataldo,6,30
Rein Taaramae,6,23
Tejay Van Garderen,6,19
Louis Meintjes,6,16
Michael Storer,6,15
Merhawi Kudus,6,14
Alexander Evans,6,12
Simone Petilli,6,10
Jonathan Caicedo,6,9
Alexander Cataford,6,8
Omer Goldstein,6,8
Reto Hollenstein,6,8
Ruben Fernandez,6,4
Jose Herrada,6,4
Dries Devenyns,6,2
Juan Jose Lobato,6,2
Luis Angel Mate,6,2
Matteo Badilatti,6,2
Andres Camilo Ardila,6,2
Anthony Delaplace,6,1
Tony Gallopin,6,0
Pieter Serry,6,0
Marti Marquez,6,0
Roman Kreuziger,6,0
Denis Nekrasov,6,0
Jan Bakelants,6,0
Jan Hirt,6,0
Ben King,6,0
Gavin Mannion,6,0
Joey Rosskopf,6,0
Lukasz Owsian,6,0
Chris Hamilton,6,0
Sander Armee,6,0
Kilien Frankiny,6,0
Robert Power,6,0
Alexander Kamp,4,159
Remy Rochas,4,123
Koen Bouwman,4,99
Maxim Van Gils,4,85
Natnael Berhane,4,76
Stefan De Bod,4,68
Sylvain Moniquet,4,68
Francisco Galvan,4,37
Dmitry Strakhov,4,35
Elie Gesbert,4,31
Antonio Soto,4,27
Juan Pedro Lopez,4,25
Antoine Duchesne,4,22
Tomasz Marczynski,4,20
Mattias Skjelmose Jensen,4,17
Frederik Wandahl,4,16
Ben Zwiehoff,4,16
Thomas Champion,4,16
Colin Joyce,4,15
Jonas Gregaard,4,14
Vadim Pronskiy,4,14
Diego Andres Camargo,4,14
Gotzon Martin,4,14
Steff Cras,4,14
Simon Guglielmi,4,12
Chris Harper,4,12
Sean Bennett,4,10
Stephen Williams,4,4
Fernando Barcelo,4,4
Joan Bou,4,2
Mikel Iturria,4,2
William Bonnet,4,2
Matthieu Ladagnous,4,2
Francois Bidard,4,0
Ben Gastauer,4,0
Jaakko Hanninen,4,0
Kevin Inkelaar,4,0
Domen Novak,4,0
Roger Adria,4,0
Urko Berrade,4,0
Jaime Castrillo,4,0
Daniel Alejandro Mendez,4,0
Savva Novikov,4,0
Sergei Chernetski,4,0
Pavel Kochetkov,4,0
Artem Nych,4,0
Jeremy Bellicaud,4,0
Rob Britton,4,0
Nathan Brown,4,0
Matis Louvel,4,0
Laurent Pichon,4,0
Alan Riou,4,0
Chad Haga,4,0
Connor Brown,4,0
Karel Vacek,4,0
Michel Ries,4,0
