Names,Cost,Points
Anna Van Der Breggen,24,1512
Marianne Vos,20,639
Demi Vollering,18,1122
Elisa Longo Borghini,18,334
Ashleigh Moolman,16,1177
Cecilie Uttrup Ludwig,16,19
Elizabeth Deignan,14,732
Emma Norsgaard,14,617
Mavi Garcia,14,456
Lorena Wiebes,14,352
Amanda Spratt,14,129
Mikayla Harvey,14,32
Marta Cavalli,12,648
Elise Chabbey,12,531
Niamh Fisher-Black,12,488
Liane Lippert,12,322
Lisa Brennauer,12,321
Chantal Van Den Broeck-Blaak,12,191
Grace Brown,12,100
Ellen Van Dijk,12,65
Maria Novolodskaia,12,16
Lauren Stephens,12,14
Coryn Rivera,10,486
Marta Bastianelli,10,312
Evita Muzic,10,249
Katrine Aalerud,10,169
Leah Thomas,10,150
Soraya Paladin,10,119
Ruth Winder,10,85
Maria Giulia Confalonieri,10,74
Floortje Mackaij,10,63
Tayler Wiles,10,22
Hannah Barnes,10,17
Sheyla Gutierrez,10,8
Kristen Faulkner,10,2
Sarah Roy,10,0
Ane Santesteban,10,0
Chiara Consonni,10,0
Lucinda Brand,8,542
Juliette Labous,8,517
Erica Magnaldi,8,339
Elena Cecchini,8,321
Sofia Bertizzolo,8,225
Alena Amialiusik,8,130
Anouska Koster,8,72
Tiffany Cromwell,8,37
Pauliena Rooijakkers,8,31
Riejanne Markus,8,27
Leah Kirchmann,8,18
Clara Koppenburg,8,16
Marlen Reusser,8,12
Georgia Williams,8,10
Arlenis Sierra,8,2
Rasa Leleivyte,8,0
Sandra Alonso,8,0
Sabrina Stultiens,8,0
Tatiana Guderzo,6,347
Ilaria Sanguineti,6,260
Eider Merino,6,140
Eugenie Duval,6,103
Alexis Ryan,6,97
Marta Lach,6,64
Silvia Zanardi,6,60
Barbara Malcotti,6,47
Brodie Chapman,6,28
Anna Trevisi,6,27
Nancy Van Den Burg,6,27
Aude Biannic,6,22
Sara Martin,6,22
Teuntje Beekhuis,6,22
Julie Van De Velde,6,22
Letizia Borghesi,6,20
Anastasia Carbonari,6,20
Jesse Vandenbulcke,6,15
Laura Tomasi,6,12
Greta Marturano,6,10
Federica Damiana Piergiovanni,6,10
Kathrin Hammes,6,6
Jeanne Korevaar,6,5
Inga Cesuliene,6,0
Camilla Alessio,6,0
Emilie Fortin,6,0
Elizabeth Holden,6,0
Kristabel Doebel-Hickok,6,0
Heidi Franz,6,0
Sara Poidevin,6,0
Sara Casasola,6,0
Lea Curinier,6,0
Janneke Ensing,6,0
Debora Silvestri,6,0
Gaia Realini,4,310
Maria Sperotto,4,180
Eleonora Camilla Gasparrini,4,90
Hanna Nilsson,4,40
Giorgia Vettorello,4,40
Silke Smulders,4,25
Matilde Vitillo,4,22
Noemi Eremita,4,15
Marta Jaskulska,4,15
Natalia Studenikina,4,12
Leah Dixon,4,12
Asia Zontone,4,10
Maelle Grossetete,4,8
Michaela Drummond,4,7
Silvia Valsecchi,4,5
Lara Vieceli,4,4
Ariadna Gutierrez,4,2
Andrea Ramirez,4,2
Nadia Quagliotto,4,2
Clara Honsinger,4,2
Emily Newsom,4,2
Diana Penuela,4,2
Giulia Marchesini,4,0
Valentina Scandolara,4,0
Gemma Sernissi,4,0
Iurani Blanco,4,0
Ariana Gilabert,4,0
Lucia Gonzalez,4,0
Francesca Balducci,4,0
Carris Cosentino,4,0
Lara Kraehemann,4,0
Alice Palazzi,4,0
Francesca Baroni,4,0
Alice Gasparini,4,0
Francesca Pisciali,4,0
Emanuela Zanetti,4,0
Danique Braam,4,0
Lone Meertens,4,0
Elise Vander Sande,4,0
Holly Breck,4,0
Katie Clouse,4,0
Carlotta Borello,4,0
Nadja Heigl,4,0
Anna Potokina,4,0
Lina Svarinska,4,0
Pauline Allin,4,0
Amandine Fouquenet,4,0
Lucie Jounier,4,0
Typhaine Laurence,4,0
Greta Richioud,4,0
Michela Balducci,4,0
Giorgia Bariani,4,0
Elisa Dalle Valle,4,0
Alice Maria Arzuffi,4,0
