Names,Cost,Points
Annemiek Van Vleuten,24,618
Cecilie Uttrup Ludwig,20,410
Mavi Garcia,18,215
Ashleigh Moolman-Pasio,16,444
Marta Cavalli,16,8
Niamh Fisher-Black,14,216
Liane Lippert,14,40
Lucinda Brand,12,349
Elise Chabbey,12,334
Coryn Rivera,12,323
Juliette Labous,12,250
Christine Majerus,12,221
Kristen Faulkner,10,696
Marlen Reusser,10,339
Chloe Hosking,10,176
Sarah Roy,10,173
Alice Barnes,10,140
Tatiana Guderzo,10,125
Elena Cecchini,10,114
Mikayla Harvey,10,112
Floortje Mackaij,10,76
Leah Thomas,10,63
Ursa Pintar,10,55
Eugenia Bujak,10,34
Mischa Bredewold,10,27
Audrey Cordon-Ragot,10,26
Hannah Barnes,10,23
Sheyla Gutierrez,10,18
Urska Zigart,10,5
Alison Jackson,8,582
Riejanne Markus,8,402
Susanne Andersen,8,215
Anna Shackley,8,161
Yara Kastelijn,8,146
Roxane Fournier,8,117
Chiara Consonni,8,100
Barbara Guarischi,8,72
Sofia Bertizzolo,8,45
Emilie Moberg,8,34
Ilaria Sanguineti,8,31
Anouska Koster,8,27
Vita Heine,8,10
Sabrina Stultiens,8,2
Marjolein Van't Geloof,8,0
Inga Van Der Heijden,8,0
Anna Henderson,8,0
Rachel Neylan,6,229
Femke Markus,6,96
Julie Van De Velde,6,96
Stine Borgli,6,81
Joscelin Lowden,6,78
Eugenie Duval,6,78
Janneke Ensing,6,76
Ella Harris,6,74
Rossella Ratto,6,71
Aude Biannic,6,61
Eleonora Camilla Gasparrini,6,57
Tanja Erath,6,51
Shirin Van Anrooij,6,41
Brodie Chapman,6,38
Lucy Kennedy,6,26
Natalie Van Gogh,6,22
Nina Kessler,6,20
Eri Yonamine,6,20
Nancy Van Den Burg,6,13
Alexis Ryan,6,8
Elynor Backstedt,6,6
Mie Bjorndal Ottestad,6,5
Jeanne Korevaar,6,2
Silvia Persico,6,2
Rotem Gafinovitz,6,0
Sara Penton,6,0
Annemarie Worst,6,0
Nina Buysman,4,130
Sanne Cant,4,129
Anna Christian,4,85
Ingvild Gaskjenn,4,83
Alice Maria Arzuffi,4,79
Wilma Olausson,4,42
Sophie Wright,4,34
Diana Penuela,4,22
Gloria Rodriguez,4,18
Anna Dorthe Ysland,4,7
Trixi Worrack,4,6
Jessica Allen,4,5
Evy Kuijpers,4,2
Silvia Pollicini,4,2
Demi De Jong,4,0
Justine Ghekiere,4,0
Claudia Jongerius,4,0
Elise Marie Olsen,4,0
Femke Gerritse,4,0
Pien Limpens,4,0
Manon Bakker,4,0
Julie De Wilde,4,0
Caroline Andersson,4,0
Amalie Lutro,4,0
Mari Hole Mohr,4,0
Ann Helen Olsen,4,0
