Names,Cost,Points
Primoz Roglic,24,964
Max Schachmann,20,786
Aleksandr Vlasov,18,570
Steven Kruijswijk,18,163
Tao Geoghegan Hart,18,0
Ion Izagirre,16,545
Richie Porte,16,0
Sam Bennett,14,563
Tiesj Benoot,14,461
Guillaume Martin,14,374
Warren Barguil,14,236
David Gaudu,14,96
Rohan Dennis,14,70
Michael Matthews,12,352
Mads Pedersen,12,344
Dylan Teuns,12,286
Pascal Ackermann,12,282
Pierre Latour,12,269
Arnaud Demare,12,165
Soren Kragh Andersen,12,125
Jai Hindley,12,108
Giacomo Nizzolo,12,80
George Bennett,12,65
Rui Costa,12,4
Christophe Laporte,10,513
Bryan Coquard,10,339
Cees Bol,10,188
Jasper Philipsen,10,177
Remi Cavagna,10,164
Brandon McNulty,10,158
Harm Vanhoucke,10,153
Sergio Henao,10,108
Alexey Lutsenko,10,76
Alexander Kristoff,10,74
Sam Oomen,10,63
Felix Grossschartner,10,35
Bob Jungels,10,34
Fabio Aru,10,20
David De La Cruz,10,15
Matteo Trentin,10,11
Gregor Muehlberger,10,0
Max Walscheid,10,0
Alexis Vuillermoz,10,0
Jack Haig,8,260
Phil Bauhaus,8,249
Luis Leon Sanchez,8,181
Ben O'Connor,8,151
Nacer Bouhanni,8,120
John Degenkolb,8,99
Andre Greipel,8,85
Simon Geschke,8,81
Jasper Stuyven,8,48
Victor Campenaerts,8,34
Anthony Turgis,8,33
Laurens De Plus,8,31
Danny Van Poppel,8,30
Ben Swift,8,28
Edward Theuns,8,24
Florian Vermeersch,8,18
Heinrich Haussler,8,14
Thomas De Gendt,8,12
Jose Joaquin Rojas,8,12
Jacopo Mosca,8,10
Dan McLay,8,4
Edvald Boasson Hagen,8,2
Kristian Sbaragli,8,0
Philippe Gilbert,8,0
Lucas Hamilton,6,524
Aurelien Paret-Peintre,6,311
Gino Maeder,6,301
Dylan Van Baarle,6,274
Matteo Jorgenson,6,241
Stefan Bisseger,6,206
Magnus Cort,6,179
Quentin Pacher,6,141
Yves Lampaert,6,125
Fabien Doubey,6,125
Rudy Barbier,6,121
Kenny Elissonde,6,100
Krists Neilands,6,93
Omar Fraile,6,72
Oliver Naesen,6,65
Jos Van Emden,6,61
Mattia Cattaneo,6,51
Neilson Powless,6,50
Jordi Meeus,6,47
Patrick Bevin,6,42
Dorian Godon,6,39
Louis Meintjes,6,36
Marco Haller,6,34
Michael Schwarzmann,6,34
Michael Morkov,6,27
Tony Martin,6,26
Piet Allegaert,6,22
Jelle Wallays,6,22
Florian Senechal,6,22
Jasha Suetterlin,6,20
Stan Dewulf,6,19
Stefano Oldani,6,16
Sven Erik Bystrom,6,16
Rui Oliveira,6,14
Matthias Braendle,6,12
Sep Vanmarcke,6,12
Rick Zabel,6,12
Luke Durbridge,6,12
Kaden Groves,6,12
Amund Grondahl Jansen,6,12
Alexander Konychev,6,12
Jonathan Hivert,6,10
Andrey Amador,6,10
Nils Eekhoff,6,10
Casper Pedersen,6,10
Bruno Armirail,6,8
Jacopo Guarnieri,6,8
Sander Armee,6,8
Anthony Delaplace,6,4
Dries De Bondt,6,2
Louis Vervaeke,6,0
Samuele Battistella,6,0
Cyril Gautier,6,0
Jens Keukeleire,6,0
Odd Christian Eiking,6,0
Rein Taaramae,6,0
Johan Jacobs,6,0
Sebastian Mora,6,0
Matteo Pelucchi,6,0
Dries Van Gestel,6,0
Anthony Perez,4,235
Julien Bernard,4,170
Matteo Sobrero,4,70
Nils Politt,4,63
Lennard Hofstede,4,58
Damien Touze,4,44
Yukiya Arashiro,4,34
Cesare Benedetti,4,34
Tim Declercq,4,34
Pierre-Luc Perichon,4,22
Julien El Fares,4,21
Jonas Rutsch,4,18
Oscar Riesebeek,4,12
Alex Edmonson,4,12
Alex Kirsch,4,10
Ignatas Konovalovas,4,8
Miles Scotson,4,8
Ramon Sinkeldam,4,8
Maxime Bouet,4,4
Clement Russo,4,4
Connor Swift,4,4
Senne Leysen,4,0
Scott Thwaites,4,0
Cyril Barthe,4,0
Jeremy Lecroq,4,0
Cyril Lemoine,4,0
Daniel Arroyave,4,0
Jonas Koch,4,0
Taco Van Der Hoorn,4,0
Boy Van Poppel,4,0
Kobe Goossens,4,0
Jorge Arcas,4,0
Imanol Erviti,4,0
Chris Lawless,4,0
