Names,Cost,Points
Amaro Antunes,22,1123
Joao Rodrigues,20,494
Joni Brandao,18,939
Antonio Carvalho,18,598
Gustavo Cesar Veloso,18,216
Frederico Figueiredo,16,816
Joao Benta,16,3
Mauricio Moreira,14,1345
Luis Gomes,14,524
Daniel Mestre,14,225
Sergio Samitier,14,134
Vicente Garcia De Mateos,14,119
Rafael Reis,12,1187
Alejandro Marque,12,765
Daniel Freitas,12,271
Luis Fernandes,12,217
Jelle Vanendert,12,0
Abner Gonzalez,10,540
Henrique Casimiro,10,377
Ricardo Mestre,10,307
Ricardo Vilela,10,286
Luis Mendonca,10,214
Samuel Caldeira,10,166
Goncalo Carvalho,10,6
Cesar Paredes,10,2
Jose Felix Parra,8,482
Diego Lopez,8,347
Tiago Antunes,8,281
Joaquim Silva,8,196
Roniel Campos,8,188
Andre Cardoso,8,179
Cesar Fonte,8,138
Alexander Grigoryev,8,99
Orluis Aular,8,89
Keegan Swirbul,8,46
Hugo Nunes,8,42
Marti Marquez,8,30
Hector Carretero,8,29
Iuri Leitao,8,25
Enrique Sanz,8,4
Laurens Huys,8,2
Jhojan Garcia,8,0
Tiago Machado,8,0
Lluis Mas,6,461
Kyle Murphy,6,430
Ben King,6,364
Juri Hollmann,6,300
Tom Wirtgen,6,266
Kenny Molly,6,260
Mason Hollyman,6,259
Bruno Silva,6,248
Carlos Oyarzun,6,224
Gaspar Goncalves,6,182
Tomas Contte,6,175
Rafael Silva,6,147
Juan Diego Alba,6,139
Matthias Norsgaard,6,134
Alex Molenaar,6,131
Juan Antonio Lopez-Cozar,6,101
Pedro Lopes,6,99
Marvin Scheulen,6,77
Jesus Del Pino,6,74
Goncalo Leaca,6,50
Emanuel Duarte,6,49
Samuel Blanco,6,42
Alex Peters,6,35
Gavin Mannion,6,27
Willie Smit,6,26
David Livramento,6,24
Garikoitz Bravo,6,21
Juan Felipe Osorio,6,19
Yuval Ben Moshe,6,6
Ibon Ruiz,6,4
Fabio Oliveira,6,0
Joel Suter,6,0
Boris Vallee,6,0
David Gonzalez,6,0
Jon Irisarri,6,0
Hector Saez,6,0
Andre Ramalho,6,0
Javier Moreno,4,383
Alastair Mackellar,4,156
Adrian Bustamante,4,128
Nuno Meireles,4,128
Carlos Salgueiro,4,116
Helder Goncalves,4,91
Pedro Paulinho,4,75
Isaac Canton,4,51
Alvaro Trueba,4,42
Andrew Turner,4,42
Rob Britton,4,37
Jose Sousa,4,31
Rui Rodrigues,4,22
Stephen Bassett,4,22
Nathan Brown,4,22
Edo Goldstein,4,20
Joao Macedo,4,15
Ivan Moreno,4,10
Iker Ballarin,4,10
Saned Abu-Fares,4,10
Oded Kogut,4,10
Riley Pickrell,4,10
Marcelo Salvador,4,10
Afonso Silva,4,6
Ibai Azurmendi,4,5
Pedro Pinto,4,5
Angel Sanchez,4,5
Victor Langellotti,4,4
Sergio Araiz,4,4
Txomin Juaristi,4,4
Quentin Venner,4,2
Goncalo Amado,4,0
Venceslau Fernandes,4,0
Antonio Ferreira,4,0
Jon Barrenetxea,4,0
Josu Etxebarria,4,0
Jokin Aranburu,4,0
Julen Irizar,4,0
Dzimitry Zhyhunou,4,0
Joao Medeiros,4,0
William Bjergfelt,4,0
Ross Lamb,4,0
Christopher Latham,4,0
Darragh O'Mahony,4,0
Ollie Peckover,4,0
