Names,Cost,Points
Geraint Thomas,22,901
Richie Porte,20,682
Steven Kruijswijk,18,65
Rohan Dennis,16,402
Miguel Angel Lopez,16,25
Wilco Kelderman,14,315
Ion Izagirre,14,299
Sepp Kuss,14,232
Marc Soler,12,560
Fausto Masnada,12,434
Mike Woods,12,381
Rui Costa,12,244
Lucas Hamilton,12,240
Filippo Ganna,12,165
Jack Haig,12,26
Ben O'Connor,10,305
Marc Hirschi,10,230
Damiano Caruso,10,203
Diego Ulissi,10,176
Gorka Izagirre,10,87
Sebastien Reichenbach,10,35
Chris Froome,10,22
Alexey Lutsenko,10,0
Sonny Colbrelli,8,505
Magnus Cort,8,346
Peter Sagan,8,330
Mattia Cattaneo,8,309
Remi Cavagna,8,277
Stefan Bissegger,8,239
Jesus Herrada,8,127
Clement Champoussin,8,119
Andrea Pasqualon,8,100
Eddie Dunbar,8,84
Antwan Tolhoek,8,74
Clement Venturini,8,56
Hermann Pernsteiner,8,47
Stefan Kueng,8,31
Kenny Elissonde,8,5
Neilson Powless,8,4
Tejav Van Garderen,8,4
Elia Viviani,8,0
Philippe Gilbert,8,0
Sergio Henao,8,0
Patrick Bevin,6,260
Thymen Arensman,6,196
Simone Petilli,6,131
Davide Villella,6,111
Jan Tratnik,6,102
Andrey Amador,6,94
Alessandro Covi,6,94
Rein Taaramae,6,90
Owain Doull,6,84
Louis Meintjes,6,66
Dion Smith,6,60
Simon Pellaud,6,55
Dario Cataldo,6,39
Johan Jacobs,6,36
Mads Wuertz Schmidt,6,32
Matteo Badilatti,6,30
Jacopo Mosca,6,30
Rob Power,6,28
Jan Bakelants,6,25
Chad Haga,6,24
Alex Dowsett,6,22
Reto Hollenstein,6,22
Matthew Holmes,6,22
Tony Martin,6,17
Chris Hamilton,6,16
Jonathan Caicedo,6,15
Sander Armee,6,15
Josef Cerny,6,14
Cristian Munoz,6,14
Max Richeze,6,14
Phil Bauhaus,6,12
Carlos Barbero,6,10
Jordi Meeus,6,8
Mathias Frank,6,6
Lawrence Naesen,6,6
Erik Baska,6,6
Dries Devenyns,6,4
Iljo Keisse,6,4
Jos Van Emden,6,2
Davide Martinelli,6,0
Natnael Berhane,6,0
Tom Bohli,6,0
Jose Herrada,6,0
Fabian Lienhard,6,0
Jake Stewart,6,0
Jan Hirt,6,0
Riccardo Minali,6,0
Andreas Kron,6,0
Gerben Thijssen,6,0
Sam Bewley,6,0
Brent Bookwalter,6,0
Damien Howson,6,0
Nico Denz,6,0
Reinardt Janse Van Rensburg,6,0
Harry Tanfield,6,0
Niklas Eg,6,0
Matteo Moschetti,6,0
Ilan Van Wilder,4,375
Kobe Goossens,4,153
Mattias Skjelmose,4,135
Joel Suter,4,104
Manuele Boaro,4,59
Ben Zwiehoff,4,28
Gijs Leemreize,4,27
Marco Brenner,4,24
Felix Gall,4,24
Guillaume Boivin,4,22
Charlie Quarterman,4,20
Antonio Tiberi,4,20
Filippo Conca,4,19
Stephen Williams,4,17
Christoph Pfingsten,4,17
Alexis Gougeard,4,16
Mathias Borsgaard,4,14
Albert Torres,4,14
Oliveiro Troia,4,14
Mathias Reutimann,4,10
Marcus Burghardt,4,8
Juraj Sagan,4,8
Jaakko Hanninen,4,6
Ian Garrison,4,4
Diego Camargo,4,4
Julien El Fares,4,4
Rodrigo Contreras,4,0
Javier Romo,4,0
Thomas Champion,4,0
Fabio Sabatini,4,0
Matthieu Ladagnous,4,0
Romain Seigle,4,0
Stef Cras,4,0
Mathias Flueckiger,4,0
Claudio Imhof,4,0
Joab Schneiter,4,0
Cyrille Thiery,4,0
Alex Edmondson,4,0
Tsgabu Grmay,4,0
Dylan Sunderland,4,0
