Names,Cost,Points
Marianne Vos,22,994
Cecilie Uttrup Ludwig,20,153
Ellen Van Dijk,18,660
Marlen Reusser,16,590
Amy Pieters,16,559
Demi Vollering,16,526
Lorena Wiebes,16,223
Chantal Van Den Broeck-Blaak,14,936
Katarzyna Niewiadoma,14,326
Elisa Balsamo,14,240
Emma Norsgaard,14,156
Lisa Klein,12,266
Christine Majerus,12,104
Alison Jackson,10,677
Lonneke Uneken,10,430
Marta Bastianelli,10,350
Alice Barnes,10,217
Susanne Andersen,10,130
Sarah Roy,10,72
Chiara Consonni,10,42
Maria Giulia Confalonieri,10,19
Maikke Boogaard,10,14
Anastiasiia Chursina,10,10
Kirsten Wild,10,4
Chloe Hosking,10,4
Amber Van Der Hulst,8,152
Charlotte Kool,8,119
Hannah Barnes,8,35
Elena Cecchini,8,20
Valerie Demey,8,12
Leah Kirchmann,8,12
Jelena Eric,8,0
Georgia Williams,8,0
Pfeiffer Georgi,6,473
Anouska Koster,6,237
Jeanne Korevaar,6,173
Ella Harris,6,143
Mischa Bredewold,6,137
Amalie Dideriksen,6,126
Barbara Guarischi,6,120
Romy Kasper,6,101
Laura Tomasi,6,92
Eugenie Duval,6,84
Karlijn Swinkels,6,74
Vittoria Guazzini,6,65
Clara Copponi,6,63
Alicia Gonzalez,6,60
Janneke Ensing,6,59
Julie Leth,6,58
Marta Jaskulska,6,54
Femnke Markus,6,54
Nina Buysman,6,52
Julia Borgstrom,6,40
Teuntje Beekhuis,6,31
Pernille Mathiesen,6,29
Alexis Ryan,6,27
Julia Soek,6,12
Silvia Persico,6,10
Teniel Campbell,6,9
Lauretta Hanson,6,6
Brodie Chapman,6,4
Letizia Paternoster,6,2
Lea Lin Teutenberg,6,0
Daniek Hengeveld,6,0
Quinty Ton,6,0
Nienke Wasmus,6,0
Jesse Vandenbulcke,6,0
Elise Vander Sande,6,0
Aude Biannic,6,0
Catalina Soto,6,0
Eleonora Camilla Gasparini,6,0
Maelle Grossetete,4,171
Silka Smulders,4,128
Hanna Nilsson,4,80
Danique Braam,4,20
Evy Kuijpers,4,12
Megan Jastrab,4,12
Femke Gerritse,4,10
Trixi Worrack,4,8
Franziska Brausse,4,7
Sanne Bouwmeester,4,0
Henrietta Colborne,4,0
Clara Lundmark,4,0
Alana Castrique,4,0
Gloria Rodriguez,4,0
Britt Knaven,4,0
Ilse Pluimers,4,0
Maud Rijnbeek,4,0
Lieke Nooijen,4,0
Jessica Allen,4,0
Margaux Vigie,4,0
