Names,Cost,Points
Max Schachmann,20,641
Julian Alaphilippe,20,577
Richard Carapaz,18,927
Jakob Fuglsang,16,521
Esteban Chaves,16,237
Pavel Sivakov,16,38
Michael Woods,14,625
Mathieu Van Der Poel,14,420
Tom Dumoulin,14,124
Marc Hirschi,14,107
Rohan Dennis,14,68
Marc Soler,14,31
Rigoberto Uran,12,696
Rui Costa,12,412
Domenico Pozzovivo,12,354
Pierre Latour,12,221
Tiesj Benoot,12,195
Michael Matthews,12,186
Lucas Hamilton,12,113
Gino Maeder,10,404
Sam Oomen,10,267
Wout Poels,10,256
Hermann Pernsteiner,10,217
Soren Kragh Andersen,10,90
Benoit Cosnefroy,10,29
Alexis Vuillermoz,10,10
Mattia Cattaneo,8,620
Stefan Bissegger,8,402
Stefan Kueng,8,327
Eddie Dunbar,8,284
Ivan Garcia Cortina,8,150
Antwan Tolhoek,8,150
David De La Cruz,8,101
Jannik Steimle,8,100
Mauri Vansevenant,8,65
Bob Jungels,8,63
Alvaro Hodeg,8,38
John Degenkolb,8,6
Dion Smith,8,0
Andreas Kron,6,291
Neilson Powless,6,263
Gonzalo Serrano,6,250
Benjamin Thomas,6,156
Omar Fraile,6,140
Joey Rooskopf,6,132
Christophe Laporte,6,120
Hugo Houle,6,107
Fred Wright,6,101
Sergio Samitier,6,98
Xandro Meurisse,6,95
Mike Teunissen,6,94
Matteo Fabbro,6,90
Andreas Leknessund,6,89
Edward Theuns,6,80
Niklas Eg,6,79
Dries Devenyns,6,77
Victor De La Parte,6,71
Juan Sebastian Molano,6,70
Stefan De Bod,6,65
Florian Vermeersch,6,56
Gijs Leemreize,6,54
Tom Bohli,6,44
Tim Declercq,6,42
Anthony Turgis,6,42
Michal Golas,6,38
Sebastian Henao,6,38
Luke Rowe,6,38
Nans Peters,6,35
Jake Stewart,6,30
Ben Tulett,6,29
Matteo Badilatti,6,28
Gavin Mannion,6,28
Lorenzo Rota,6,25
Silvan Dillier,6,24
Petr Vakoc,6,24
Fabian Lienhard,6,18
Tobias Ludvigsson,6,18
Manuele Boaro,6,16
Mathias Frank,6,15
Ben King,6,15
Maciej Bodnar,6,10
Jordi Meeus,6,10
Ryan Gibbons,6,9
Ruben Fernandez,6,7
Andre Greipel,6,6
Hugo Hofstetter,6,6
Sep Vanmarcke,6,6
Rick Zabel,6,6
Kobe Goossens,6,6
Viktor Verschaeve,6,6
Jempy Drucker,6,4
Szymon Sajnok,6,4
Jelle Wallays,6,4
Amund Grondahl Jansen,6,2
Julien Simon,6,2
Marc Sarreau,6,0
Michael Schaer,6,0
Jan Hirt,6,0
Simone Petilli,6,0
Baptiste Planckaert,6,0
Georg Zimmermann,6,0
Simon Pellaud,6,0
Roland Thalmann,6,0
Jack Bauer,6,0
Luke Durbridge,6,0
Thymen Arensman,6,0
Jasha Suetterlin,6,0
Simon Clarke,6,0
Kilian Frankiny,6,0
Reinardt Janse Van Rensburg,6,0
Nicola Conci,6,0
Alex Kirsch,6,0
Claudio Imhof,4,127
Joel Suter,4,115
Tom Scully,4,111
Jonas Rutsch,4,96
Alexander Kamp,4,94
Antonio Nibali,4,90
Nikolas Zukowsky,4,46
Christoph Pfingsten,4,44
Nathan Van Hooydonck,4,44
Stephen Williams,4,40
Eros Capecchi,4,36
Domen Novak,4,36
Jonas Gregaard,4,35
Andreas Stokbro,4,25
Floris De Tier,4,24
Otto Vergaerde,4,24
Alex Howes,4,21
Yevgeniy Gidich,4,20
Matteo Dal-Cin,4,20
Remy Rochas,4,16
Antonio Tiberi,4,15
Sebastian Langeveld,4,12
Fabien Doubey,4,12
Marcus Burghardt,4,10
Anton Palzer,4,10
Matthew Walls,4,10
Alexys Brunel,4,8
Guillaume Boivin,4,6
James Piccoli,4,6
Filippo Conca,4,6
Maxim Van Gils,4,6
Juan Diego Alba,4,4
Hector Carretero,4,4
Johan Jacobs,4,4
Rob Britton,4,4
Kyle Murphy,4,4
Cristian Camilo Munoz,4,4
Oliveiro Troia,4,4
Damien Touze,4,0
Maurits Lammertink,4,0
Pieter Vanspeybrouck,4,0
Kevin Kuhn,4,0
Lukas Ruegg,4,0
Romain Combaud,4,0
Mark Donovan,4,0
Connor Brown,4,0
Nic Dlamini,4,0
