Names,Cost,Points
Tadej Pogacar,24,1129
Wout Van Aert,20,1210
Julian Alaphilippe,20,248
Egan Bernal,18,397
Simon Yates,18,341
Mathieu Van Der Poel,16,619
Joao Almeida,16,469
Jakob Fuglsang,16,145
Thibaut Pinot,16,5
Nairo Quintana,14,229
Geraint Thomas,14,156
Caleb Ewan,14,151
Mikel Landa,12,429
Romain Bardet,12,210
Davide Formolo,12,163
Vincenzo Nibali,12,162
Fernando Gaviria,12,156
Pavel Sivakov,12,153
Michal Kwiatkowski,12,52
Peter Sagan,12,47
Ilnur Zakarin,12,2
Tim Wellens,10,297
Sergio Higuita,10,288
Davide Ballerini,10,271
Marc Soler,10,172
Tim Merlier,10,165
Filippo Ganna,10,165
Alex Aranburu,10,145
Giulio Ciccone,10,50
Pello Bilbao,10,49
Elia Viviani,10,40
Patrick Konrad,10,37
Rafal Majka,10,34
Domenico Pozzovivo,10,15
Andrea Vendrame,8,169
Tobias Foss,8,151
Greg Van Avermaet,8,148
Stefan Kueng,8,120
Ivan Garcia Cortina,8,112
Alvaro Hodeg,8,104
Luka Mezgec,8,104
Hugo Hofstetter,8,100
Alberto Bettiol,8,74
Zdenek Stybar,8,37
Gorka Izagirre,8,25
Kevin Geniets,8,10
Damiano Caruso,8,9
Simon Clarke,8,5
Quinn Simmons,8,5
Thomas Boudat,8,3
Lilian Calmejane,8,0
Nans Peters,8,0
Valentin Madouas,8,0
Jan Hirt,8,0
Andrea Pasqualon,8,0
Mads Wuertz Schmidt,6,314
Matteo Fabbro,6,304
Fabio Felline,6,271
Simone Velasco,6,216
Jan Bakelants,6,190
Hugo Houle,6,161
Robert Stannard,6,138
Alessandro De Marchi,6,131
Nelson Oliveira,6,101
Jasper De Buyst,6,99
Benjamin Thomas,6,98
Emils Liepins,6,90
Rudy Molard,6,86
Kasper Asgreen,6,82
Victor De La Parte,6,75
Edoardo Affini,6,71
Simon Carr,6,67
Gonzalo Serrano,6,61
Max Kanter,6,61
Robert Gesink,6,56
Paul Martens,6,56
Timo Roosen,6,56
Davide Martinelli,6,52
Ivo Oliveira,6,44
Jonathan Castroviejo,6,42
Salvatore Puccio,6,42
Lorenzo Rota,6,42
Tobias Ludvigsson,6,40
Jan Polanc,6,34
Max Richeze,6,34
Jonas Rickaert,6,32
Bert Van Lerberghe,6,32
Xandro Meurisse,6,22
Petr Vakoc,6,22
Gianni Vermeersch,6,22
Dario Cataldo,6,21
Davide Villella,6,21
Niccolo Bonifazio,6,21
Mark Padun,6,20
Marco Canola,6,16
Jan Tratnik,6,14
Chris Hamilton,6,14
Tosh Van Der Sande,6,12
Niki Terpstra,6,11
Simon Pellaud,6,10
Samuele Rivi,6,10
Pieter Vanspeybrouck,6,10
Giovanni Aleotti,6,9
Nikias Arndt,6,9
Joris Nieuwenhuis,6,9
Jack Bauer,6,8
Jenthe Biermans,6,6
Davide Cimolai,6,6
Maciej Bodnar,6,4
Daniel Oss,6,4
Nico Denz,6,4
Natnael Tesfatsion,6,2
Pavel Kochetkov,6,2
Roman Kreuziger,6,2
Ivan Rovny,6,2
Adrien Petit,6,2
Michael Gogl,6,1
Michael Schaer,6,0
Larry Warbasse,6,0
Tom Bohli,6,0
Jempy Drucker,6,0
Nathan Haas,6,0
Fabio Sabatini,6,0
Lawson Craddock,6,0
Manuel Beletti,6,0
Aime De Gendt,6,0
Loic Vliegen,6,0
Lukasz Owsian,6,0
Laurent Pichon,6,0
Diego Rosa,6,0
Dimitri Claeys,6,0
Lorrenzo Manzin,6,0
Matteo Moschetti,6,0
Toms Skujins,6,0
Brent Van Moer,4,141
Vincenzo Albanese,4,98
Mattia Bais,4,75
Nathan Van Hooydonck,4,56
Manuele Boaro,4,52
Michael Hepburn,4,48
Geoffrey Bouchard,4,38
Cristian Rodriguez,4,35
Davide Bais,4,27
Sebastian Langeveld,4,24
Guillaume Boivin,4,23
Otto Vergaerde,4,22
Guy Niv,4,21
Albert Torres,4,21
Lukasz Wisniowski,4,21
Matteo Malucelli,4,15
Marcus Burghardt,4,14
Fred Wright,4,13
Frederik Frison,4,12
Roger Kluge,4,12
Emil Vinjebo,4,12
John Archibald,4,10
Martijn Tusveld,4,9
Chris Juul-Jensen,4,8
Andrey Zeits,4,8
Eros Capecchi,4,4
Alex Howes,4,4
Tom Scully,4,4
Denis Nekrasov,4,2
Alessandro Bisolti,4,0
Daniel Munoz,4,0
Eduardo Sepulveda,4,0
Kenneth Vanbilsen,4,0
Attilio Viviani,4,0
Mark Christian,4,0
Alejandro Ropero,4,0
Thibault Guernalec,4,0
Kevin Ledanois,4,0
Bert-Jan Lindeman,4,0
Julien Simon,4,0
Ryan Mullen,4,0
