Names,Cost,Points
Remco Evenepoel,26,12
Tom Dumoulin,20,380
Kasper Asgreen,20,302
Matej Mohoric,18,802
Soren Kragh Andersen,18,68
Peter Sagan,16,313
Mads Pedersen,16,265
Tim Merlier,14,557
Jasper Stuyven,14,413
Tim Wellens,14,332
Caleb Ewan,14,194
Dylan Groenewegen,14,42
Geraint Thomas,14,24
Sonny Colbrelli,12,951
Stefan Kueng,12,377
Tiesj Benoot,12,349
Fernando Gaviria,12,186
Wilco Kelderman,12,5
Jakob Fuglsang,12,0
Christophe Laporte,10,426
Mike Teunissen,10,318
Stefan Bissegger,10,246
Max Walscheid,10,208
Marc Hirschi,10,154
Greg Van Avermaet,10,70
Oliver Naesen,10,50
Gianni Moscon,10,39
Brandon McNulty,10,37
Philippe Gilbert,10,35
Cees Bol,10,26
Elia Viviani,10,2
Danny Van Poppel,8,547
Victor Campenaerts,8,438
Phil Bauhaus,8,421
Gianni Vermeersch,8,175
Alvaro Hodeg,8,142
Mads Wuertz Schmidt,8,104
Jonas Rickaert,8,56
Reinardt Janse Van Rensburg,8,39
Ben Swift,8,19
Olav Kooij,8,12
Andrea Pasqualon,8,10
Thomas De Gendt,8,10
Edward Theuns,8,8
Ivan Garcia Cortina,8,4
Szymon Sajnok,8,2
Emmanuel Morin,8,0
Mikkel Bjerg,8,0
Luke Durbridge,6,376
Fred Wright,6,269
Nikias Arndt,6,183
Taco Van Der Hoorn,6,167
Tom Van Asbroeck,6,163
Edoardo Affini,6,135
Lukas Poestelberger,6,115
Heinrich Haussler,6,108
Samuele Battistella,6,102
Oscar Riesebeek,6,98
Andrey Amador,6,91
Stanislaw Aniolkowski,6,57
Aime De Gendt,6,55
Tosh Van Der Sande,6,50
Dries De Bondt,6,46
Petr Vakoc,6,46
Casper Pedersen,6,43
Fabian Lienhard,6,40
Jack Bauer,6,38
Dries Devenyns,6,32
Sebastian Langeveld,6,32
Thomas Sprengers,6,30
Jos Van Emden,6,27
Jake Stewart,6,25
Benjamin Thomas,6,25
Michael Gogl,6,24
Harry Tanfield,6,24
Toms Skujins,6,21
Michal Golas,6,19
Sebastian Henao,6,19
Barnabas Peak,6,16
Davide Villella,6,14
Timo Roosen,6,14
Iljo Keisse,6,12
Michael Morkov,6,12
Stijn Steels,6,12
Daniel Arroyave,6,12
Julius Van Den Berg,6,12
Matteo Sobrero,6,10
Daniel Oss,6,10
Attila Valter,6,10
Pieter Vanspeybrouck,6,10
Jasper De Buyst,6,10
Joris Nieuwenhuis,6,8
Jasha Suetterlin,6,8
Matteo Moschetti,6,8
Callum Scotson,6,6
Jempy Drucker,6,2
Michael Schaer,6,0
Gijs Van Hoecke,6,0
Sean De Bie,6,0
Timothy Dupont,6,0
Maciej Bodnar,6,0
Finn Fisher-Black,6,0
Vegard Stake Laengen,6,0
Maxi Richeze,6,0
Mathias Norsgaard,4,130
Logan Owen,4,124
Thimo Willems,4,110
Jonathan Milan,4,78
Marcel Sieberg,4,78
Arjen Livyns,4,52
Kenneth Van Rooy,4,50
Senne Leysen,4,46
Roger Kluge,4,34
Hugo Houle,4,32
Lluis Mas,4,29
Milan Menten,4,25
Alexis Renard,4,25
Andreas Stokbro,4,24
Sam Bewley,4,23
Lasse Norman Hansen,4,22
Jenthe Biermans,4,20
Leonardo Basso,4,19
Guillaume Boivin,4,17
Ward Vanhoof,4,15
Fumiyuki Beppu,4,12
Mitch Docker,4,12
Julien Duval,4,10
Ludovic Robeet,4,10
Antoine Duchesne,4,10
Miles Scotson,4,10
Ludwig De Winter,4,10
Boy Van Poppel,4,10
Ryan Mullen,4,8
Charlie Quarterman,4,8
Alexander Konychev,4,6
Guy Sagiv,4,5
Norman Vahtra,4,5
Hector Carretero,4,4
Sebastian Mora,4,4
Albert Torres,4,4
Tom Bohli,4,2
Attilio Viviani,4,2
Anthony Jullien,4,0
Yevgeniy Gidich,4,0
Dmitriy Gruzdev,4,0
Laurenz Rex,4,0
Erik Baska,4,0
Juraj Sagan,4,0
Rune Herregodts,4,0
Arne Marit,4,0
Jordi Warlop,4,0
