Names,Cost,Points
Annemiek Van Vleuten,24,733
Anna Van Der Breggen,24,15
Elisa Longo Borghini,20,456
Ashleigh Moolman-Pasio,18,132
Lisa Brennauer,18,0
Marta Cavalli,16,386
Mavi Garcia,16,91
Marlen Reusser,14,723
Katarzyna Niewiadoma,14,455
Lotte Kopecky,14,381
Ellen Van Dijk,14,146
Amanda Spratt,14,10
Niamh Fisher-Black,14,0
Liane Lippert,12,465
Elisa Balsamo,12,230
Ane Santesteban,12,108
Juliette Labous,12,96
Tatiana Guderzo,12,68
Audrey Cordon-Ragot,12,4
Elise Chabbey,10,530
Coryn Rivera,10,188
Kristen Faulkner,10,104
Erica Magnaldi,10,94
Eugenia Bujak,10,80
Alison Jackson,10,73
Evita Muzic,10,57
Mikayla Harvey,10,52
Paula Patino,10,46
Leah Kirchmann,10,14
Floortje Mackaij,8,328
Pauliena Rooijakkers,8,308
Leah Thomas,8,264
Tayler Wiles,8,67
Sheyla Gutierrez,8,46
Ursa Pintar,8,40
Urska Zigart,8,40
Anna Shackley,8,35
Jeanne Korevaar,8,10
Victorie Guilman,8,0
Vita Heine,8,0
Mieke Kroeger,8,0
Tereza Neumanova,8,0
Kata Vas,6,302
Anna Henderson,6,275
Alena Amialiusik,6,136
Riejanne Markus,6,132
Silvia Zanardi,6,90
Abi Smith,6,89
Hannah Ludwig,6,84
Tiffany Cromwell,6,52
Amalie Dideriksen,6,24
Sofia Bertizzolo,6,20
Janneke Ensing,6,18
Shirin Van Anrooij,6,14
Vittoria Guazzini,6,11
Stine Borgli,6,10
Valerie Demey,6,10
Lucy Kennedy,6,10
Karol-Ann Canuel,6,5
Sandra Alonso,6,0
Yuliia Biriukova,6,0
Rachel Langdon,6,0
Idoia Eraso,6,0
Spela Kern,6,0
Eva Anguela Yaguez,6,0
Ines Cantera,6,0
Sofia Rodriguez,6,0
Enara Lopez,6,0
Tanja Erath,6,0
Ilaria Sanguineti,6,0
Amber Kraak,4,72
Sara Martin,4,56
Marie Le Net,4,52
Lourdes Oyarbide,4,46
Michaela Drummond,4,31
Ingvild Gaskjenn,4,20
Elena Pirrone,4,19
Kathrin Hammes,4,10
Megan Jastrab,4,10
Malgorzata Jasinska,4,10
Aafke Soet,4,2
Jip Van Den Bos,4,2
Lara Crestanello,4,0
Prisca Savi,4,0
Silvia Valsecchi,4,0
Matilde Vitillo,4,0
Ariana Gilabert,4,0
Nadine Gill,4,0
Lucia Gonzalez,4,0
Amaia Lartitegi,4,0
Mercedes Carmona Ramos,4,0
Laura Asencio,4,0
Ziortz Isasi,4,0
Lija Laizane,4,0
Katia Martinez,4,0
Silvia Zuniga,4,0
Caroline Baur,4,0
Isabella Bertoid,4,0
Holly Henry,4,0
Dorka Jordan,4,0
Ainhize Barrainkua,4,0
Irantzu Beloki,4,0
Tania Calvo,4,0
Garazi Estevez,4,0
Eukene Larrate,4,0
Olivia Baril,4,0
Mireia Benito,4,0
Maaike Colje,4,0
Martina Moreno,4,0
Carolina Esteban,4,0
Isabel Martin,4,0
Irene Mendez,4,0
Aida Nuno,4,0
Susana Perez,4,0
Naia Amondarain,4,0
Maria Banlles,4,0
Natalia Saiz,4,0
Claire Steels,4,0
Ane Iversen,4,0
Amalie Lutro,4,0
Josie Nelson,4,0
Christa Riffel,4,0
Liliana Domingues,4,0
Carla Fernandez,4,0
Pilar Jimenez,4,0
Melissa Maia,4,0
Cristina Pujol,4,0
Nancy Van Den Burg,4,0
Nina Kessler,4,0
Diana Penuela,4,0
Eri Yonamine,4,0
Barbara Malcotti,4,0
Federica Damiana Piergiovanni,4,0
Antri Christoforou,4,0
Nofar Maoz,4,0
Luciana Roland,4,0
Alessia Vigilia,4,0
