Names,Cost,Points
Geraint Thomas,20,686
Richie Porte,18,746
Nairo Quintana,18,95
Miguel Angel Lopez,16,370
Enric Mas,16,301
Steven Kruijswijk,16,198
Guillaume Martin,16,128
Wilco Kelderman,14,608
Alejandro Valverde,14,606
Ion Izagirre,14,411
Tao Geoghegan Hart,14,346
David Gaudu,14,327
Sepp Kuss,14,229
Brandon McNulty,12,180
Dylan Teuns,12,86
Patrick Konrad,10,633
Jack Haig,10,506
Alex Aranburu,10,447
Ben O'Connor,10,382
Michal Kwiatkowski,10,178
Tim Wellens,10,68
Warren Barguil,10,33
Fabio Aru,10,20
Chris Froome,10,0
Sonny Colbrelli,8,754
Alexey Lutsenko,8,691
Jasper Stuyven,8,235
Ilan Van Wilder,8,208
Michael Valgren,8,205
Clement Venturini,8,199
Aurelien Paret-Peintre,8,172
Ben Hermans,8,116
Oscar Rodriguez,8,42
Kenny Elissonde,8,32
Pierre Rolland,8,31
Joe Dombrowski,8,17
Valentin Madouas,8,10
Alexander Kristoff,8,2
Simon Geschke,8,0
Kevin Geniets,8,0
Mads Pedersen,8,0
Mark Padun,6,476
Kasper Asgreen,6,465
Lukas Poestelberger,6,429
Jonas Vingegaard,6,203
Carlos Barbero,6,184
Matthew Holmes,6,138
Greg Van Avermaet,6,100
Kaden Groves,6,97
Lawson Craddock,6,94
Sven Erik Bystrom,6,92
Damien Howson,6,91
Andrey Amador,6,80
Dylan Van Baarle,6,80
Mads Wuertz Schmidt,6,80
Franck Bonnamour,6,77
Louis Meintjes,6,72
Quentin Pacher,6,63
Santiago Buitrago,6,61
Jose Joaquin Rojas,6,46
Carlos Verona,6,46
Dmitriy Gruzdev,6,42
Cyril Gautier,6,35
Anthony Delaplace,6,33
Omer Goldstein,6,32
Eliot Lietaer,6,30
Dorian Godon,6,28
Jan Bakelants,6,26
Josef Cerny,6,22
Shane Archbold,6,20
Oliver Naesen,6,18
Loic Vliegen,6,15
Robert Power,6,12
Sander Armee,6,11
Laurent Pichon,6,10
Michael Gogl,6,10
Robert Gesink,6,9
Tony Martin,6,9
Timo Roosen,6,9
Mikkel Bjerg,6,7
Fabio Jakobsen,6,2
Florian Senechal,6,2
Stijn Steels,6,2
Andres Camilo Ardila,6,2
Ivo Oliveira,6,2
Nathan Haas,6,0
Emmanuel Morin,6,0
Will Barta,6,0
Lachlan Morton,6,0
Hideto Nakane,6,0
Bruno Armirail,6,0
Kevin Van Melsen,6,0
Reto Hollenstein,6,0
Winner Anacona,6,0
Chad Haga,6,0
Brent Van Moer,4,236
Nils Politt,4,174
Patrick Gamper,4,94
Marco Haller,4,81
Carlos Rodriguez,4,80
Harry Sweeny,4,68
Mattias Skjelmose Jensen,4,62
Michael Schwarzmann,4,57
Jorge Arcas,4,56
Imanol Erviti,4,56
Frederik Wandahl,4,52
Clement Russo,4,50
Felix Gall,4,45
Yuriy Natarov,4,42
Julien Bernard,4,35
Sean Bennett,4,25
Martin Salmon,4,22
Martijn Tusveld,4,21
Steff Cras,4,20
Jaakko Hanninen,4,18
Sebastien Grignard,4,18
Sylvain Moniquet,4,18
Alexis Renard,4,12
Anthony Perez,4,10
Ian Garrison,4,10
Olivier Le Gac,4,10
Tsgabu Grmay,4,10
Barnabas Peak,4,10
Ryan Mullen,4,10
Eros Capecchi,4,8
Kevin Vermaerke,4,8
Benjamin Perry,4,4
Maxime Chevalier,4,2
Sebastian Schoenberger,4,2
Lennard Hofstede,4,1
Pierre-Luc Perichon,4,0
Kenneth Vanbilsen,4,0
Julien El Fares,4,0
Logan Owen,4,0
William Bonnet,4,0
Matthieu Ladagnous,4,0
Jeremy Bellicaud,4,0
Jasper De Plus,4,0
Theo Delacroix,4,0
Alexander Cataford,4,0
Lukasz Owsian,4,0
Brent Bookwalter,4,0
Kevin Colleoni,4,0
Andrey Zeits,4,0
Marco Brenner,4,0
Dylan Sunderland,4,0
Michel Ries,4,0
