Names,Cost,Points
Primoz Roglic,24,1293
Tadej Pogacar,24,991
Adam Yates,20,562
Max Schachmann,18,191
Alejandro Valverde,16,526
Jakob Fuglsang,16,174
Richard Carapaz,16,69
Wilco Kelderman,16,53
Tao Geoghegan Hart,16,0
Ion Izagirre,14,378
Esteban Chaves,14,271
Hugh Carthy,14,183
Michael Woods,14,82
Enric Mas,14,82
Guillaume Martin,14,20
David Gaudu,12,610
Brandon McNulty,12,554
Mikel Landa,12,395
Emanuel Buchamann,12,219
Pello Bilbao,10,480
Sergio Higuita,10,107
Marc Hirschi,10,95
Pierre Latour,10,91
Diego Ulissi,10,55
Fabio Aru,10,30
Patrick Konrad,10,12
Bauke Mollema,10,2
Benoit Cosnefroy,10,0
Alex Aranburu,8,308
James Knox,8,228
Tobias Foss,8,207
Antwan Tolhoek,8,150
Sam Oomen,8,131
Ben O'Connor,8,95
Daryl Impey,8,90
Simon Clarke,8,80
Rafal Majka,8,55
Alexey Lutsenko,8,50
Oscar Rodriguez,8,40
Magnus Cort,8,40
Valerio Conti,8,40
Daniel Navarro,8,20
Simon Geschke,8,15
Aurelien Paret-Peintre,8,10
Sergio Samitier,8,4
Jesus Herrada,8,0
Eddie Dunbar,8,0
Ben Swift,8,0
Ben Hermans,8,0
Thomas De Gendt,8,0
Matthew Holmes,8,0
Mikel Nieve,8,0
Dion Smith,8,0
Jonas Vingegaard,6,787
Patrick Bevin,6,220
Oman Fraile,6,202
Mikkel Honore,6,181
Josef Cerny,6,139
Ide Schelling,6,89
Ruben Fernandez,6,85
Gino Maeder,6,81
Jan Polanc,6,55
Mark Padun,6,46
Mattia Cattaneo,6,21
Lorenzo Rota,6,20
Carlos Verona,6,18
Andrey Amador,6,15
Larry Warbasse,6,10
Andreas Leknessund,6,10
Jefferson Cepeda,6,7
Bruno Armirail,6,6
Nicola Conci,6,2
Niklas Eg,6,2
Toms Skujins,6,2
Mathias Frank,6,0
Angel Madrazo,6,0
Jon Aberasturi,6,0
Nicolas Edet,6,0
Jonathan Caicedo,6,0
Mikel Bizkarra,6,0
Luis Angel Mate,6,0
Laurens De Plus,6,0
Maurits Lammertink,6,0
Georg Zimmermann,6,0
Damien Howson,6,0
Kilian Frankiny,6,0
Victor De La Parte,6,0
Mauri Vansevenant,4,241
Julien Bernard,4,126
Quinten Hermans,4,114
Lennard Hofstede,4,96
Christoph Pfingsten,4,96
Stefano Oldani,4,70
Julien Simon,4,50
Stefan De Bod,4,40
Yukiya Arashiro,4,36
Ilan Van Wilder,4,32
Martijn Tusveld,4,30
Jesus Ezquerra,4,25
Mikel Iturria,4,25
Oier Lazkano,4,23
Ben Gastauer,4,22
Jonathan Lastra,4,20
Gotzon Martin,4,20
Eros Capecchi,4,16
Rafael Valls,4,16
Pieter Serry,4,15
Jon Irisarri,4,14
Juan Pedro Lopez,4,14
Oscar Cabedo,4,12
Felix Gall,4,12
Alejandro Osorio,4,10
Ian Garrison,4,10
Roger Adria,4,10
Kevin Vermaerke,4,10
Mathieu Burgaudeau,4,10
Giovanni Aleotti,4,6
Cesare Benedetti,4,6
Matthieu Ladagnous,4,6
Miles Scotson,4,6
Romain Seigle,4,6
Lars Van Den Berg,4,6
Jorge Arcas,4,4
Hector Carretero,4,4
Einer Rubio,4,4
Alexander Kamp,4,2
Nicolas Prodhomme,4,0
Carlos Canal,4,0
Ander Okamika,4,0
Juan Felipe Osorio,4,0
Jon Barrenetxea,4,0
Fernando Barcelo,4,0
Anthony Perez,4,0
Diego Andres Camargo,4,0
Alex Howes,4,0
Jimmy Whelan,4,0
Jon Agirre,4,0
Urko Berrade,4,0
Francisco Galvan,4,0
Raul Garcia Pierna,4,0
Marti Marquez,4,0
Jose Felix Parra,4,0
Mikel Aristi,4,0
Unai Cuadrado,4,0
Txomin Juaristi,4,0
Clement Davy,4,0
Theo Delacroix,4,0
Odd Christian Eiking,4,0
Alexander Evans,4,0
Alexander Cataford,4,0
Krists Neilands,4,0
James Piccoli,4,0
Filippo Conca,4,0
Sebastien Grignard,4,0
Tomasz Marczynski,4,0
Sylvain Moniquet,4,0
Tsgabu Grmay,4,0
Amund Grondahl Jansen,4,0
Christopher Juul-Jensen,4,0
Romain Combaud,4,0
Mark Donovan,4,0
Sean Bennett,4,0
Bert-Jan Lindeman,4,0
Mauro Schmid,4,0
Fabien Doubey,4,0
Fabien Grellier,4,0
Cristian Rodriguez,4,0
