Names,Cost,Points
Joao Almeida,24,1125
Diego Ulissi,20,635
Tao Geoghegan Hart,18,2
Pascal Ackermann,18,0
Matej Mohoric,14,890
Jai Hindley,14,343
Tim Wellens,14,316
Fernando Gaviria,14,236
Michal Kwiatkowski,12,764
Alvaro Hodeg,12,314
Remi Cavagna,12,244
David Dekker,12,168
Andrea Vendrame,12,149
Gianni Moscon,12,102
Mikkel Honore,10,534
Dylan Teuns,10,294
Max Walcheid,10,150
Edward Theuns,10,131
Matteo Jorgenson,10,115
Andrea Pasqualon,10,66
George Bennett,10,63
Attila Valter,10,41
Ilnur Zakarin,10,40
Kaden Groves,10,8
Ivan Garcia Cortina,10,2
Dion Smith,8,323
Lorenzo Rota,8,278
Jonas Rickaert,8,258
Giovanni Aleotti,8,247
Hugo Hofstetter,8,235
Max Kanter,8,116
Yevgeniy Fedorov,8,113
Mikkel Bjerg,8,112
Alessandro Covi,8,108
Tanel Kangert,8,94
John Degenkolb,8,92
Matteo Sobrero,8,17
Simon Clarke,8,14
Matteo Fabbro,8,0
Phil Bauhaus,6,402
Ben Tulett,6,261
Quinten Hermans,6,252
Nikias Arndt,6,210
Olav Kooij,6,180
Julius Van Den Berg,6,170
Biniam Ghirmay,6,155
Pascal Eenkhoorn,6,150
Stefano Oldani,6,135
Alexis Renard,6,134
Emils Liepins,6,120
Tony Gallopin,6,109
Einer Rubio,6,108
Taco Van Der Hoorn,6,107
Maciej Bodnar,6,100
Tim Declercq,6,94
Stijn Steels,6,94
Michal Paluta,6,80
Jake Stewart,6,75
Lionel Taminiaux,6,72
Romain Seigle,6,65
Ruben Fernandez,6,63
Kristian Sbaragli,6,61
Marcel Sieberg,6,48
Marco Canola,6,48
Georg Zimmermann,6,41
Matthias Braendle,6,36
Silvan Dillier,6,34
Xandro Meurisse,6,32
Lukas Poestelberger,6,32
Kobe Goossens,6,29
Larry Warbasse,6,28
Heinrich Haussler,6,24
Alexander Konychev,6,23
Andrey Amador,6,22
Gabriel Cullaigh,6,22
Marco Marcato,6,22
Maxi Richeze,6,22
Niklas Maerkl,6,17
Patryk Stosz,6,14
Nikita Stalnov,6,12
Tomasz Marczynski,6,12
Davide Villella,6,12
Nans Peters,6,11
Gijs Van Hoecke,6,11
Tom Bohli,6,10
Barnabas Peak,6,8
Fumiyuki Beppu,6,6
Alessandro De Marchi,6,6
Nico Roche,6,6
Florian Stork,6,6
Antwan Tolhoek,6,4
Jos Van Emden,6,4
Luke Rowe,6,3
Manuele Boaro,6,2
Davide Martinelli,6,2
Vadim Pronskiy,6,2
Owain Doull,6,2
Michal Golas,6,2
Patrick Bevin,6,2
Dario Cataldo,6,2
Pavel Kochetkov,6,0
Evgeny Shalunov,6,0
Stanislaw Aniolkowski,6,0
Maciej Paterski,6,0
Carlos Barbero,6,0
Kilian Frankiny,6,0
Rob Power,6,0
Lukasz Wisniowski,6,0
Amanuel Ghebreigzabhier,6,0
Lukasz Owsian,4,175
Clement Berthet,4,137
Daniel Arroyave,4,112
Ian Garrison,4,94
Michael Scwarzmann,4,69
Pieter Vanspeybrouck,4,51
Antonio Tiberi,4,51
Eros Capecchi,4,48
Kevin Inkelaar,4,48
Filippo Conca,4,42
Denis Nekrasov,4,38
Senne Leysen,4,32
Jonas Gregaard,4,32
Norman Vahtra,4,26
Sebastian Langeveld,4,25
Oliviero Troia,4,22
Logan Owen,4,21
Sean Bennett,4,21
Xandres Vervloesem,4,12
Anthony Jullien,4,11
Tsgabu Grmay,4,8
Michael Hepburn,4,8
Julien El Fares,4,6
Jenthe Biermans,4,6
Romain Combaud,4,6
Christoph Pfingsten,4,4
Jorge Arcas,4,2
Marcus Burghardt,4,0
Natnael Berhane,4,0
Fabio Sabatini,4,0
Attilio Viviani,4,0
Tom Scully,4,0
Igor Boev,4,0
Artem Nych,4,0
William Bonnet,4,0
Clement Davy,4,0
Antoine Duchesne,4,0
Fabian Lienhard,4,0
Piotr Brozyna,4,0
Filip Maciejuk,4,0
Ryan Mullen,4,0
Charlie Quarterman,4,0
