Names,Cost,Points
Simon Yates,20,26
Richard Carapaz,18,720
Nairo Quintana,18,609
Alejandro Valverde,18,5
Joao Almeida,16,658
Jai Hindley,16,200
Richie Porte,16,0
Hugh Carthy,14,27
Jack Haig,14,14
Esteban Chaves,14,7
Mike Woods,14,0
Tom Dumoulin,14,0
Ben O'Connor,12,461
Guillaume Martin,12,382
Wout Poels,12,292
Michael Matthews,12,279
Carlos Rodriguez,12,181
Giulio Ciccone,12,169
Sonny Colbrelli,12,152
Marc Soler,12,113
George Bennett,12,110
Ivan Sosa,12,15
Pavel Sivakov,12,9
Sergio Higuita,10,1051
Sam Oomen,10,199
Steven Kruijswijk,10,185
Juan Sebastian Molano,10,158
Michael Storer,10,37
Fausto Masnada,10,0
Juan Ayuso,8,676
Kaden Groves,8,447
Phil Bauhaus,8,304
Dylan Teuns,8,301
Andrea Bagioli,8,289
Hugo Hofstetter,8,236
Attila Valter,8,208
Sebastien Reichenbach,8,144
Rui Costa,8,77
Simon Clarke,8,73
Daryl Impey,8,15
Louis Meintjes,8,10
Rohan Dennis,8,9
Mikel Nieve,8,0
Neilson Powless,8,0
Michal Kwiatkowski,8,0
Tobias Halland Johannessen,6,432
Quentin Pacher,6,292
Mattias Skjelmose Jensen,6,261
Torstein Traeen,6,202
Carlos Verona,6,181
Fernando Barcelo,6,160
Dorian Godon,6,158
Hermann Pernsteiner,6,156
Jan Bakelants,6,143
Mikel Bizkarra,6,133
Santiago Buitrago,6,113
Martin Laas,6,97
Simone Velasco,6,90
Guillaume Boivin,6,90
Jesus Herrada,6,72
Eduard Prades,6,64
Dani Navarro,6,63
Damien Howson,6,58
Casper Pedersen,6,47
Bruno Armirail,6,42
Ilan Van Wilder,6,40
Gotzon Martin,6,37
Mark Donovan,6,34
Javier Romo,6,30
Winner Anacona,6,30
Anthony Delaplace,6,30
Elie Gesbert,6,30
Lukasz Owsian,6,30
Simone Petilli,6,29
Matteo Badilatti,6,27
Antonio Jesus Soto,6,25
Luke Plapp,6,24
Jonathan Castroviejo,6,23
Juan Pedro Lopez,6,23
Antwan Tolhoek,6,16
Urko Berrade,6,15
Robert Gesink,6,15
Jhojan Garcia,6,12
Rudy Molard,6,12
Louis Vervaeke,6,12
Jetse Bol,6,10
Jonathan Caicedo,6,10
Sylvain Moniquet,6,5
Joe Dombrowski,6,2
Michal Schlegel,6,2
Jose Herrada,6,2
Nans Peters,6,0
Valerio Conti,6,0
Sebastian Henao,6,0
Alexandre Delettre,6,0
Pierre-Luc Perichon,6,0
Odd Christian Eiking,6,0
Merhawi Kudus,6,0
Roger Adria,6,0
Hector Carretero,6,0
Jose Felix Parra,6,0
Luis Angel Mate,6,0
Jan Hirt,6,0
Mads Wuertz Schmidt,6,0
David Dekker,6,0
Thomas De Gendt,6,0
Matthew Holmes,6,0
Harm Vanhoucke,6,0
Jose Joaquin Rojas,6,0
Albert Torres,6,0
Dario Cataldo,6,0
Amanuel Ghebregzabhier,6,0
Idar Andersen,6,0
Anthon Charmig,6,0
Ethan Vernon,4,267
Jonas Iversby Hvideberg,4,163
Manuel Penalver,4,130
Ivo Oliveira,4,122
Ander Okamika,4,113
Henri Vandenabeele,4,98
Francisco Galvan,4,73
Jonas Gregaard,4,50
Anton Palzer,4,47
Joan Bou,4,37
Carlos Canal,4,30
Miguel Eduardo Florez,4,30
Callum Scotson,4,30
Michael Hepburn,4,28
Christopher Juul-Jensen,4,28
Marco Brenner,4,24
Ben Zwiehoff,4,22
Joel Nicolau,4,22
Dries Devenyns,4,22
Adria Moreno,4,21
Romain Combaud,4,14
Marius Mayrhofer,4,14
Pieter Serry,4,12
Raul Garcia Pierna,4,10
Jacob Hindsgaul Madsen,4,10
Clement Berthet,4,8
Mikael Cherel,4,8
Jaakko Hanninen,4,8
Larry Warbasse,4,8
Alex Molenaar,4,6
Theo Delacroix,4,5
Marc Brustenga,4,5
Vadim Pronskiy,4,0
Alexandr Riabushenko,4,0
Cesare Benedetti,4,0
Oscar Cabedo,4,0
Alvaro Cuadros,4,0
Sander Armee,4,0
Hugo Toumire,4,0
Diego Andres Camargo,4,0
Jaime Castrillo,4,0
Unai Cuadrado,4,0
Tom Devriendt,4,0
Laurens Huys,4,0
Corbin Strong,4,0
Filippo Conca,4,0
Viktor Verschaeve,4,0
Will Barta,4,0
Oier Lazkano,4,0
Torjus Sleen,4,0
